experiment_id,model_version,features_added,train_period,test_period,accuracy,log_loss,Brier_score,calibration_score,expected_calibration_error
model_a_sprint2_baseline_20260603_220400,model_a_sprint2_baseline,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|home_had_midweek_match|home_matches_last_14_days|home_matches_last_30_days|home_days_since_last_match|home_fixture_congestion_score|away_days_rest|away_had_midweek_match|away_matches_last_14_days|away_matches_last_30_days|away_days_since_last_match|away_fixture_congestion_score|home_played_europe_midweek|home_days_since_europe_match|home_european_fixture_load|away_played_europe_midweek|away_days_since_europe_match|away_european_fixture_load|home_injured_players_count|home_injured_starters_count|home_missing_minutes|home_missing_goals|home_missing_xg|home_missing_xa|home_missing_market_value|away_injured_players_count|away_injured_starters_count|away_missing_minutes|away_missing_goals|away_missing_xg|away_missing_xa|away_missing_market_value|home_availability_score|home_lineup_strength_score|home_injury_severity_score|away_availability_score|away_lineup_strength_score|away_injury_severity_score,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.5164113785557987,1.0128594083657843,0.6052885790254938,0.039292418510047826,0.03929241851004782
model_b_baseline_lineup_continuity_20260603_220400,model_b_baseline_lineup_continuity,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|home_had_midweek_match|home_matches_last_14_days|home_matches_last_30_days|home_days_since_last_match|home_fixture_congestion_score|away_days_rest|away_had_midweek_match|away_matches_last_14_days|away_matches_last_30_days|away_days_since_last_match|away_fixture_congestion_score|home_played_europe_midweek|home_days_since_europe_match|home_european_fixture_load|away_played_europe_midweek|away_days_since_europe_match|away_european_fixture_load|home_injured_players_count|home_injured_starters_count|home_missing_minutes|home_missing_goals|home_missing_xg|home_missing_xa|home_missing_market_value|away_injured_players_count|away_injured_starters_count|away_missing_minutes|away_missing_goals|away_missing_xg|away_missing_xa|away_missing_market_value|home_availability_score|home_lineup_strength_score|home_injury_severity_score|away_availability_score|away_lineup_strength_score|away_injury_severity_score|home_starting_xi_repeat_count|home_starting_xi_repeat_pct|home_lineup_changes|home_same_back_four|home_same_midfield|home_same_attack|home_starters_from_last_win|home_lineup_similarity_last_win|home_days_since_last_win|away_starting_xi_repeat_count|away_starting_xi_repeat_pct|away_lineup_changes|away_same_back_four|away_same_midfield|away_same_attack|away_starters_from_last_win|away_lineup_similarity_last_win|away_days_since_last_win,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.5164113785557987,1.0128594083657843,0.6052885790254938,0.039292418510047826,0.03929241851004782
model_c_baseline_continuity_familiarity_20260603_220400,model_c_baseline_continuity_familiarity,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|home_had_midweek_match|home_matches_last_14_days|home_matches_last_30_days|home_days_since_last_match|home_fixture_congestion_score|away_days_rest|away_had_midweek_match|away_matches_last_14_days|away_matches_last_30_days|away_days_since_last_match|away_fixture_congestion_score|home_played_europe_midweek|home_days_since_europe_match|home_european_fixture_load|away_played_europe_midweek|away_days_since_europe_match|away_european_fixture_load|home_injured_players_count|home_injured_starters_count|home_missing_minutes|home_missing_goals|home_missing_xg|home_missing_xa|home_missing_market_value|away_injured_players_count|away_injured_starters_count|away_missing_minutes|away_missing_goals|away_missing_xg|away_missing_xa|away_missing_market_value|home_availability_score|home_lineup_strength_score|home_injury_severity_score|away_availability_score|away_lineup_strength_score|away_injury_severity_score|home_starting_xi_repeat_count|home_starting_xi_repeat_pct|home_lineup_changes|home_same_back_four|home_same_midfield|home_same_attack|home_starters_from_last_win|home_lineup_similarity_last_win|home_days_since_last_win|away_starting_xi_repeat_count|away_starting_xi_repeat_pct|away_lineup_changes|away_same_back_four|away_same_midfield|away_same_attack|away_starters_from_last_win|away_lineup_similarity_last_win|away_days_since_last_win|home_shared_starts_score|home_shared_minutes_score|home_lineup_familiarity_score|away_shared_starts_score|away_shared_minutes_score|away_lineup_familiarity_score,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.5164113785557987,1.0128594083657843,0.6052885790254938,0.039292418510047826,0.03929241851004782
model_d_full_stability_engine_20260603_220400,model_d_full_stability_engine,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|home_had_midweek_match|home_matches_last_14_days|home_matches_last_30_days|home_days_since_last_match|home_fixture_congestion_score|away_days_rest|away_had_midweek_match|away_matches_last_14_days|away_matches_last_30_days|away_days_since_last_match|away_fixture_congestion_score|home_played_europe_midweek|home_days_since_europe_match|home_european_fixture_load|away_played_europe_midweek|away_days_since_europe_match|away_european_fixture_load|home_injured_players_count|home_injured_starters_count|home_missing_minutes|home_missing_goals|home_missing_xg|home_missing_xa|home_missing_market_value|away_injured_players_count|away_injured_starters_count|away_missing_minutes|away_missing_goals|away_missing_xg|away_missing_xa|away_missing_market_value|home_availability_score|home_lineup_strength_score|home_injury_severity_score|away_availability_score|away_lineup_strength_score|away_injury_severity_score|home_starting_xi_repeat_count|home_starting_xi_repeat_pct|home_lineup_changes|home_same_back_four|home_same_midfield|home_same_attack|home_starters_from_last_win|home_lineup_similarity_last_win|home_days_since_last_win|away_starting_xi_repeat_count|away_starting_xi_repeat_pct|away_lineup_changes|away_same_back_four|away_same_midfield|away_same_attack|away_starters_from_last_win|away_lineup_similarity_last_win|away_days_since_last_win|home_shared_starts_score|home_shared_minutes_score|home_lineup_familiarity_score|away_shared_starts_score|away_shared_minutes_score|away_lineup_familiarity_score|home_manager_stability_score|home_lineup_rotation_rate|home_squad_consistency_score|away_manager_stability_score|away_lineup_rotation_rate|away_squad_consistency_score,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.5164113785557987,1.0128594083657843,0.6052885790254938,0.039292418510047826,0.03929241851004782
