experiment_id,model_version,features_added,train_period,test_period,accuracy,log_loss,Brier_score,calibration_score,expected_calibration_error
model_a_current_production_20260907_134958,model_a_current_production,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|away_days_rest|home_matches_last_14_days|away_matches_last_14_days|home_had_midweek_match|away_had_midweek_match|home_days_since_last_match|away_days_since_last_match|home_elo|away_elo|elo_difference|elo_ratio|elo_gap_bucket|elo_recent_change|home_elo_trend|away_elo_trend|rolling_elo_form|home_shots_avg_last5|away_shots_avg_last5|home_shots_on_target_avg_last5|away_shots_on_target_avg_last5|home_shots_avg_last10|away_shots_avg_last10|home_shots_on_target_avg_last10|away_shots_on_target_avg_last10|home_shots_avg_season|away_shots_avg_season|home_shots_on_target_avg_season|away_shots_on_target_avg_season,2019-08-09 to 2025-02-21,2025-02-22 to 2026-09-06,0.4739776951672863,1.0594956652834946,0.6337514566181712,0.05089259722825171,0.050892597228251714
model_b_production_injury_features_20260907_134958,model_b_production_injury_features,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|away_days_rest|home_matches_last_14_days|away_matches_last_14_days|home_had_midweek_match|away_had_midweek_match|home_days_since_last_match|away_days_since_last_match|home_elo|away_elo|elo_difference|elo_ratio|elo_gap_bucket|elo_recent_change|home_elo_trend|away_elo_trend|rolling_elo_form|home_shots_avg_last5|away_shots_avg_last5|home_shots_on_target_avg_last5|away_shots_on_target_avg_last5|home_shots_avg_last10|away_shots_avg_last10|home_shots_on_target_avg_last10|away_shots_on_target_avg_last10|home_shots_avg_season|away_shots_avg_season|home_shots_on_target_avg_season|away_shots_on_target_avg_season|home_injured_players_count|home_injured_starters_count|home_injured_expected_starters|home_suspended_players_count|home_suspended_expected_starters|home_missing_minutes|home_missing_minutes_played|home_missing_goals|home_missing_xg|home_missing_xg_contribution|home_missing_xa|home_missing_market_value|home_missing_defensive_contribution|away_injured_players_count|away_injured_starters_count|away_injured_expected_starters|away_suspended_players_count|away_suspended_expected_starters|away_missing_minutes|away_missing_minutes_played|away_missing_goals|away_missing_xg|away_missing_xg_contribution|away_missing_xa|away_missing_market_value|away_missing_defensive_contribution,2019-08-09 to 2025-02-21,2025-02-22 to 2026-09-06,0.4758364312267658,1.0599897961093734,0.6348871111954661,0.04911558509168423,0.04911558509168424
