model_version,segment,matches,accuracy,log_loss,Brier_score,expected_calibration_error,draw_recall,draw_log_loss
model_a_current_production,all_test_matches,538.0,0.48698884758364314,1.0580380534942657,0.6331159348779498,0.04936396042081208,0.0,0.6071756522115679
model_a_current_production,home_new_manager_first_5,3.0,0.6666666666666666,0.9514422298536855,0.5697150667538031,0.2746800349818336,0.0,0.781313845409457
model_a_current_production,away_new_manager_first_5,2.0,0.5,1.2162923290401007,0.7711846483424712,0.45317747443914413,0.0,0.970074109897785
model_a_current_production,any_new_manager_first_5,5.0,0.6,1.0573822695282515,0.6503028993892703,0.3011501451333364,0.0,0.8568179512047882
model_a_current_production,home_new_manager_first_10,9.0,0.5555555555555556,0.9392787122726435,0.5398838910212849,0.2637337540034895,0.0,0.6143267638228683
model_a_current_production,away_new_manager_first_10,10.0,0.4,1.291277140901456,0.788206596414245,0.3180735150973002,0.0,0.5449538809268256
model_a_current_production,any_new_manager_first_10,18.0,0.5,1.124083141802596,0.6658651788648375,0.21568927969093676,0.0,0.6004271561707987
model_a_current_production,no_new_manager_first_10,520.0,0.48653846153846153,1.055751877360516,0.6319823072014805,0.05073590793002109,0.0,0.6074092539975946
model_b_basic_manager,all_test_matches,538.0,0.49070631970260226,1.0647551828989732,0.6363041392991682,0.05939962738453234,0.013986013986013986,0.6125568602878583
model_b_basic_manager,home_new_manager_first_5,3.0,0.6666666666666666,1.179782362780908,0.6516562299381984,0.2816275507211685,0.0,1.005697860778813
model_b_basic_manager,away_new_manager_first_5,2.0,0.5,1.3050295532159106,0.8334228439053836,0.4720708553989728,0.0,1.0278252621116404
model_b_basic_manager,any_new_manager_first_5,5.0,0.6,1.2298812389549092,0.7243628755250724,0.3419675399859746,0.0,1.0145488213119438
model_b_basic_manager,home_new_manager_first_10,9.0,0.6666666666666666,0.9875941464994852,0.5535532067702216,0.19083052735637734,0.0,0.6774664846454022
model_b_basic_manager,away_new_manager_first_10,10.0,0.4,1.2835150287518386,0.7838932203348664,0.26813658078511554,0.0,0.5592596860384145
model_b_basic_manager,any_new_manager_first_10,18.0,0.5555555555555556,1.140069108347427,0.6673372103843993,0.18400476141660302,0.0,0.6399982040608065
model_b_basic_manager,no_new_manager_first_10,520.0,0.48846153846153845,1.0621481624026807,0.6352299176077563,0.060283378903300336,0.014388489208633094,0.6116069676187947
model_c_manager_continuity,all_test_matches,538.0,0.483271375464684,1.065977919713302,0.6371908121098057,0.06402366652696993,0.006993006993006993,0.6123869188189208
model_c_manager_continuity,home_new_manager_first_5,3.0,0.6666666666666666,1.2367249733054608,0.6763123465172373,0.33626192228661644,0.0,1.0327624363267802
model_c_manager_continuity,away_new_manager_first_5,2.0,0.0,1.2922550460648448,0.8390345143472621,0.4759324515859286,0.0,1.018238921126055
model_c_manager_continuity,any_new_manager_first_5,5.0,0.4,1.2589370024092144,0.7414012136492472,0.3480076765020688,0.0,1.02695303024649
model_c_manager_continuity,home_new_manager_first_10,9.0,0.6666666666666666,1.0139203869713038,0.5669229231809448,0.2786251367242248,0.0,0.6810918733627895
model_c_manager_continuity,away_new_manager_first_10,10.0,0.2,1.3081258045946285,0.7973097043538881,0.24641067683696746,0.0,0.5686459434703164
model_c_manager_continuity,any_new_manager_first_10,18.0,0.4444444444444444,1.1660152346366568,0.6808763700008671,0.17732151018248665,0.0,0.6469306015374688
model_c_manager_continuity,no_new_manager_first_10,520.0,0.4846153846153846,1.0625150895813393,0.6356786197212689,0.06398442709484162,0.007194244604316547,0.6111911759555864
model_d_full_manager_intelligence,all_test_matches,538.0,0.4888475836431227,1.0654868791722332,0.6370852853059432,0.06484732536836775,0.006993006993006993,0.6125514440559333
model_d_full_manager_intelligence,home_new_manager_first_5,3.0,0.6666666666666666,1.2455427946638726,0.6816387957210379,0.33935046527120805,0.0,1.04383433279625
model_d_full_manager_intelligence,away_new_manager_first_5,2.0,0.5,1.3320801233971888,0.8610193229195897,0.473067710796992,0.0,1.1117553377247713
model_d_full_manager_intelligence,any_new_manager_first_5,5.0,0.6,1.280157726157199,0.7533910066004587,0.3751074860493342,0.0,1.0710027347676587
model_d_full_manager_intelligence,home_new_manager_first_10,9.0,0.6666666666666666,0.959212412880488,0.5440628654965929,0.21613465663459566,0.0,0.6384106750448627
model_d_full_manager_intelligence,away_new_manager_first_10,10.0,0.3,1.305234982504821,0.7927281207655033,0.2377389892935753,0.0,0.600237259029195
model_d_full_manager_intelligence,any_new_manager_first_10,18.0,0.5,1.1405052109014255,0.6698537357263932,0.19960454947970532,0.0,0.6425472741557148
model_d_full_manager_intelligence,no_new_manager_first_10,520.0,0.48846153846153845,1.0628900907662229,0.6359509927913892,0.06495050532886615,0.007194244604316547,0.6115131268601715
