,home_team_points_last_5,away_team_points_last_5,home_goals_scored_avg,away_goals_scored_avg,home_advantage,home_xg_avg,away_xg_avg,home_xga_avg,away_xga_avg,home_xg_diff,away_xg_diff,home_days_rest,away_days_rest,home_matches_last_14_days,away_matches_last_14_days,home_had_midweek_match,away_had_midweek_match,home_days_since_last_match,away_days_since_last_match,home_attacking_pressure_score_last5,home_attacking_pressure_score_last10,home_attacking_pressure_score_season,away_attacking_pressure_score_last5,away_attacking_pressure_score_last10,away_attacking_pressure_score_season,home_points_last_5_home_matches,away_points_last_5_away_matches,home_xg_last_5_home_matches,away_xg_last_5_away_matches,home_xga_last_5_home_matches,away_xga_last_5_away_matches,home_goal_diff_home_matches,away_goal_diff_away_matches
home_team_points_last_5,1.0,0.03478430650963194,0.724078744958144,0.02179879388334721,,0.6236370837793519,0.03875153423310126,0.5153347334453583,0.024283036229507275,0.7006644357653954,0.009810486085919164,0.034331629046120304,0.019737985425415105,0.026957387594729144,0.025539162260145874,0.009547016913139845,0.025970131042464432,0.034331629046120304,0.019737985425415105,0.25785499788583177,0.22149252422766935,0.24767201747515355,0.020733346386017246,0.0011044529438208898,0.023339543731114437,0.6721208324220451,0.06300464229511517,0.5337333817231703,0.059976966845729104,0.37947985009693924,0.013347533955001996,0.6191371224040108,0.029221214779557338
away_team_points_last_5,0.03478430650963194,1.0,0.0014147235949884727,0.7216454099668481,,0.007839915950272834,0.6174998849935055,0.016798909840863362,0.5259697493045752,0.005178632681782372,0.6988102515273462,0.029642199910203806,0.00370976689398164,0.014167853612045443,0.019673993745698743,0.0066516831292475825,0.06896683335303512,0.029642199910203806,0.00370976689398164,0.05134137291613276,0.03681997858829522,0.028896451890037794,0.26513490412520996,0.2549722607145783,0.24841411724841098,0.048596014263027405,0.6527356267154212,0.030662321486950316,0.47862292898215547,0.036963434688364875,0.33626064344730133,0.012953053786812841,0.5685226355137701
home_goals_scored_avg,0.724078744958144,0.0014147235949884727,1.0,0.031655175573745656,,0.7481027494477809,0.054791601379518794,0.2716385853434998,0.042352352777631753,0.6322701872407289,0.009106683019771012,0.027161599663847628,0.0021934022850434785,0.019930299449805407,0.024446140874825783,0.04640472613197333,0.053431570043483353,0.027161599663847628,0.0021934022850434785,0.30939181362185375,0.27471957420373483,0.26209237516990336,0.01107677877265002,0.0038933071510162095,0.01900086629444226,0.5259108718633014,0.01802038112642515,0.5845609214202291,0.046170111222407946,0.2657177926098906,0.035080291935033744,0.5800950956567708,0.009567523592032775
away_goals_scored_avg,0.02179879388334721,0.7216454099668481,0.031655175573745656,1.0,,0.04433063409086502,0.7440094206284832,0.0399096469432698,0.3105419260454409,0.003813660147638055,0.6499320068507249,0.017096681985469674,0.026340370621214967,0.0019117839721488495,0.016838791429383364,0.03051937961613929,0.03163008976315306,0.017096681985469674,0.026340370621214967,0.016748954523400174,0.01743964393329639,0.011811758281418236,0.343789369178704,0.32439416294121154,0.3047606589686452,0.04336499916124904,0.4821916460172039,0.0488290372478835,0.5243061511774858,0.027860421725228002,0.20386226681889205,0.024080786914621462,0.5185707081453174
home_advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home_xg_avg,0.6236370837793519,0.007839915950272834,0.7481027494477809,0.04433063409086502,,1.0,0.08557392138880779,0.32626461429193016,0.057680680137285216,0.823029264850499,0.01925335129569223,0.017552600953520202,0.021540509012640683,0.01380459195026287,0.006710030360027304,0.04947770189404608,0.06971117967598534,0.017552600953520202,0.021540509012640683,0.39482687832198327,0.3592329128009599,0.3494126799692252,0.0036251601221563286,0.007897561376200325,0.0015569060306659616,0.5299201896627801,0.014465924195862723,0.7608567958273104,0.059646327194312204,0.31341954640555425,0.06574566369514245,0.5539326071775331,0.0023178422421725802
away_xg_avg,0.03875153423310126,0.6174998849935055,0.054791601379518794,0.7440094206284832,,0.08557392138880779,1.0,0.06891124183009177,0.34382701182010694,0.012246035947732558,0.8298403123054854,0.0005848787244368083,0.014038271383326157,0.0049679165406603994,0.007432878684712246,0.021500747924651432,0.03657980961887097,0.0005848787244368083,0.014038271383326157,0.0003339858342294975,0.00510280952686261,0.011367515629590355,0.41357618734564194,0.38022000453432325,0.3672674083653712,0.05470346141785315,0.4925190391365418,0.08596861264539984,0.7003231599591596,0.04678305991926678,0.22595080124714645,0.02718119965330781,0.5037405461926132
home_xga_avg,0.5153347334453583,0.016798909840863362,0.2716385853434998,0.0399096469432698,,0.32626461429193016,0.06891124183009177,1.0,0.08013402910654256,0.8054425270617872,0.004512063325788661,0.03913055675073612,0.011203268161310823,0.0022126158373957185,0.012376511573254118,0.024679969597765927,0.0009659893783114754,0.03913055675073612,0.011203268161310823,0.1421846033178928,0.13552670410118725,0.15472189147286078,0.04709775669470638,0.03210090300360049,0.03327504172661085,0.3402358055429194,0.001695458157141478,0.2500255445735693,0.052485834369234007,0.6546444880986724,0.12785383541757478,0.4575123866268779,0.027416123144207306
away_xga_avg,0.024283036229507275,0.5259697493045752,0.042352352777631753,0.3105419260454409,,0.057680680137285216,0.34382701182010694,0.08013402910654256,1.0,0.011986111329074242,0.8093028207005032,0.010693025445564126,0.041786402175703646,0.0026110554733967317,0.01762577831007175,0.035717967855449555,0.06800401324469113,0.010693025445564126,0.041786402175703646,0.0978433622446415,0.095330200809855,0.08345732736897242,0.1683276392702466,0.15305290172842417,0.15290354677283188,0.02261877501533615,0.3973621080432084,0.06938121982562731,0.28694988309953884,0.07079468338537401,0.6725737998105271,0.012908797522641758,0.4706286262335642
home_xg_diff,0.7006644357653954,0.005178632681782372,0.6322701872407289,0.003813660147638055,,0.823029264850499,0.012246035947732558,0.8054425270617872,0.011986111329074242,1.0,0.014782739878727528,0.034517959393743705,0.00677372072813329,0.007325732897887921,0.003229721311689172,0.01619199519228792,0.0431273066606425,0.034517959393743705,0.00677372072813329,0.3257966881421604,0.3000403834944665,0.30395033301478175,0.025587395139675728,0.014087415728050959,0.0203698571817849,0.5366920509009173,0.010088660874516778,0.6272799174358088,0.005859565034144434,0.5898716494673948,0.03560337985634773,0.6222165940441116,0.015020552616771448
away_xg_diff,0.009810486085919164,0.6988102515273462,0.009106683019771012,0.6499320068507249,,0.01925335129569223,0.8298403123054854,0.004512063325788661,0.8093028207005032,0.014782739878727528,1.0,0.005988251112441065,0.016049370517858843,0.004659137715317764,0.01512322966848,0.007775339237275102,0.06329168188584214,0.005988251112441065,0.016049370517858843,0.05704036118201,0.052633017373733666,0.04159350989770035,0.35284587051189575,0.3233964397036524,0.31423418048599905,0.020777819519506354,0.544208773995668,0.012547438049656268,0.6085859342838471,0.012804152497675901,0.5410016755728608,0.024673393441154115,0.5947652567574624
home_days_rest,0.034331629046120304,0.029642199910203806,0.027161599663847628,0.017096681985469674,,0.017552600953520202,0.0005848787244368083,0.03913055675073612,0.010693025445564126,0.034517959393743705,0.005988251112441065,1.0,0.4473613412251197,0.26222619005059,0.2503217099000423,0.08841978119056784,0.0697229983125192,1.0,0.4473613412251197,0.005505595789203345,0.004818781527003306,0.009567176519296292,0.019144680613054636,0.011126206476049014,0.015121733134168633,0.030300089515451507,0.026199150785551933,0.030271140259592336,0.0067920774320984,0.05207471231358097,0.03540849723376276,0.05563428506300569,0.03375815282385961
away_days_rest,0.019737985425415105,0.00370976689398164,0.0021934022850434785,0.026340370621214967,,0.021540509012640683,0.014038271383326157,0.011203268161310823,0.041786402175703646,0.00677372072813329,0.016049370517858843,0.4473613412251197,1.0,0.3625425074179125,0.3908300503491974,0.10883688023263481,0.14419839023403952,0.4473613412251197,1.0,0.03752403016114108,0.02273508742504374,0.01164257466078358,0.02234304778222084,0.008516835828289764,0.014362553060681696,0.005160997994681254,0.0035792487220434703,0.014582137690933097,0.020060219859750934,0.012382517695879015,0.01548634990835855,0.008569184598203232,0.015121333266957467
home_matches_last_14_days,0.026957387594729144,0.014167853612045443,0.019930299449805407,0.0019117839721488495,,0.01380459195026287,0.0049679165406603994,0.0022126158373957185,0.0026110554733967317,0.007325732897887921,0.004659137715317764,0.26222619005059,0.3625425074179125,1.0,0.7693770321756471,0.403412554564912,0.3197191399245761,0.26222619005059,0.3625425074179125,0.022007835740589406,0.004792016807801607,0.0051461909252763765,0.030231934890688785,0.02355689017752953,0.01579979713294071,0.05565385264129751,0.01540035770149815,0.03894513424620669,0.009696431985753061,0.006440969618656608,0.04049163703923124,0.021356178850115204,0.016553953129501968
away_matches_last_14_days,0.025539162260145874,0.019673993745698743,0.024446140874825783,0.016838791429383364,,0.006710030360027304,0.007432878684712246,0.012376511573254118,0.01762577831007175,0.003229721311689172,0.01512322966848,0.2503217099000423,0.3908300503491974,0.7693770321756471,1.0,0.3050195869757688,0.3930009280450143,0.2503217099000423,0.3908300503491974,0.029054319986650225,0.020444041013296086,0.0327012590237156,0.018656696474520215,0.020446677651832532,0.022495423362951263,0.03082781997095101,0.014454670789755184,0.025832140150518126,0.012342221638357088,0.012507610825660317,0.01620108179001016,0.00423460607609276,0.01490161938226598
home_had_midweek_match,0.009547016913139845,0.0066516831292475825,0.04640472613197333,0.03051937961613929,,0.04947770189404608,0.021500747924651432,0.024679969597765927,0.035717967855449555,0.01619199519228792,0.007775339237275102,0.08841978119056784,0.10883688023263481,0.403412554564912,0.3050195869757688,1.0,0.6683794680419731,0.08841978119056786,0.10883688023263483,0.08013534345334478,0.0546003165204244,0.03318258251930173,0.019312765110369844,0.0057990477571950375,0.0027387753856117987,0.017884857109258093,0.004703455725647823,0.008735421278261848,0.027361377221439973,0.003775365229734447,0.007166870699497123,0.0039265408378540085,0.019110817771892954
away_had_midweek_match,0.025970131042464432,0.06896683335303512,0.053431570043483353,0.03163008976315306,,0.06971117967598534,0.03657980961887097,0.0009659893783114754,0.06800401324469113,0.0431273066606425,0.06329168188584214,0.0697229983125192,0.14419839023403952,0.3197191399245761,0.3930009280450143,0.6683794680419731,1.0,0.0697229983125192,0.14419839023403952,0.09179406133219571,0.06749096029997266,0.047213261129100535,0.05005539928649709,0.03872965415663539,0.02989673381689114,0.002338561157205409,0.051909076687517236,0.02686573989815702,0.027003049158808794,0.01686393982641687,0.03028247451603364,0.019628873624920586,0.026799032200044644
home_days_since_last_match,0.034331629046120304,0.029642199910203806,0.027161599663847628,0.017096681985469674,,0.017552600953520202,0.0005848787244368083,0.03913055675073612,0.010693025445564126,0.034517959393743705,0.005988251112441065,1.0,0.4473613412251197,0.26222619005059,0.2503217099000423,0.08841978119056786,0.0697229983125192,1.0,0.4473613412251197,0.005505595789203345,0.004818781527003306,0.009567176519296292,0.019144680613054636,0.011126206476049014,0.015121733134168633,0.030300089515451507,0.026199150785551933,0.030271140259592336,0.0067920774320984,0.05207471231358097,0.03540849723376276,0.05563428506300569,0.03375815282385961
away_days_since_last_match,0.019737985425415105,0.00370976689398164,0.0021934022850434785,0.026340370621214967,,0.021540509012640683,0.014038271383326157,0.011203268161310823,0.041786402175703646,0.00677372072813329,0.016049370517858843,0.4473613412251197,1.0,0.3625425074179125,0.3908300503491974,0.10883688023263483,0.14419839023403952,0.4473613412251197,1.0,0.03752403016114108,0.02273508742504374,0.01164257466078358,0.02234304778222084,0.008516835828289764,0.014362553060681696,0.005160997994681254,0.0035792487220434703,0.014582137690933097,0.020060219859750934,0.012382517695879015,0.01548634990835855,0.008569184598203232,0.015121333266957467
home_attacking_pressure_score_last5,0.25785499788583177,0.05134137291613276,0.30939181362185375,0.016748954523400174,,0.39482687832198327,0.0003339858342294975,0.1421846033178928,0.0978433622446415,0.3257966881421604,0.05704036118201,0.005505595789203345,0.03752403016114108,0.022007835740589406,0.029054319986650225,0.08013534345334478,0.09179406133219571,0.005505595789203345,0.03752403016114108,1.0,0.8643722149167407,0.8102147699288421,0.03949478399263508,0.0427902119002247,0.04624989411672447,0.2274213668758169,0.05276042456781139,0.3424711756166664,0.011204983878929303,0.1426609360439239,0.09605930781008594,0.22619034419414993,0.045446643400836984
home_attacking_pressure_score_last10,0.22149252422766935,0.03681997858829522,0.27471957420373483,0.01743964393329639,,0.3592329128009599,0.00510280952686261,0.13552670410118725,0.095330200809855,0.3000403834944665,0.052633017373733666,0.004818781527003306,0.02273508742504374,0.004792016807801607,0.020444041013296086,0.0546003165204244,0.06749096029997266,0.004818781527003306,0.02273508742504374,0.8643722149167407,1.0,0.8772382279761565,0.04168717153021132,0.04799525732702336,0.04739431199712882,0.24736157696705222,0.038376168529853795,0.3739228993229675,0.002696290525175901,0.15853439310778542,0.08826894390458019,0.25262142339590055,0.03337023515733145
home_attacking_pressure_score_season,0.24767201747515355,0.028896451890037794,0.26209237516990336,0.011811758281418236,,0.3494126799692252,0.011367515629590355,0.15472189147286078,0.08345732736897242,0.30395033301478175,0.04159350989770035,0.009567176519296292,0.01164257466078358,0.0051461909252763765,0.0327012590237156,0.03318258251930173,0.047213261129100535,0.009567176519296292,0.01164257466078358,0.8102147699288421,0.8772382279761565,1.0,0.0552218277920303,0.061529427409786216,0.061256813969882314,0.2586643131199473,0.022926196197016975,0.34995821072405936,0.011004936836468275,0.14423377430945783,0.08101709342298194,0.25301343845275465,0.024800925035195386
