feature_group,permutation_importance
Venue-specific features,0.013537331476488236
Form,0.008479927780431495
xGA,0.002977223935284723
xG,-0.00041713452699487796
xG differential,-0.0004612047807035501
Fatigue,-0.004317142192181111
Tactical pressure,-0.008984540181624489
