feature_group,features,mean_abs_corr_with_other_features,max_abs_corr_with_other_features,high_corr_pairs_ge_0_80
Form,5,0.17954298806748428,0.7481027494477809,0
xG,2,0.2068254583367989,0.8298403123054854,2
xGA,2,0.16259142773569207,0.8093028207005032,2
xG differential,2,0.2207692307402233,0.8298403123054854,4
Fatigue,8,0.021926506066755235,0.09179406133219571,0
Tactical pressure,6,0.10773518970989719,0.41357618734564194,0
Venue-specific features,8,0.15305166943941875,0.7608567958273104,0
