feature_group,features_removed,accuracy,log_loss,brier_score,calibration_score,ece,log_loss_delta_vs_full,brier_delta_vs_full
Full model,0,0.4747663551401869,1.071843036866871,0.64384530143499,0.05228530210312283,0.05228530210312282,0.0,0.0
Form,5,0.4635514018691589,1.0712841219116012,0.6436290584228481,0.06148064139290391,0.061480641392903906,-0.0005589149552698292,-0.00021624301214184793
xG,2,0.4803738317757009,1.0677819166283484,0.6418351372885549,0.052325878638159073,0.05232587863815907,-0.004061120238522564,-0.0020101641464350672
xGA,2,0.45981308411214955,1.0681509778148144,0.6422232815849435,0.053248124047417515,0.05324812404741751,-0.0036920590520566066,-0.0016220198500465077
xG differential,2,0.4803738317757009,1.0609068125374583,0.6368415480781493,0.05279518734443225,0.05279518734443225,-0.010936224329412658,-0.00700375335684067
Fatigue,8,0.4691588785046729,1.068108993076949,0.641993569231966,0.05424847505360006,0.05424847505360006,-0.003734043789922037,-0.0018517322030239258
Tactical pressure,6,0.4542056074766355,1.0622943001645633,0.6391592602075415,0.04471529251968378,0.04471529251968378,-0.009548736702307714,-0.004686041227448423
Venue-specific features,8,0.48785046728971965,1.0724725732739855,0.6428540111605482,0.06325107120743421,0.06325107120743421,0.0006295364071144949,-0.0009912902744417806
