feature_group,features,reference,accuracy,log_loss,brier_score,calibration_score,ece,log_loss_delta_vs_form,brier_delta_vs_form
Form,5,form_only,0.4523364485981308,1.070678028489319,0.6459890968218486,0.037554321714279436,0.037554321714279436,0.0,0.0
xG,2,form_plus_group,0.4766355140186916,1.060883204632095,0.6391227777994363,0.03442410209282907,0.034424102092829076,-0.009794823857223856,-0.006866319022412304
xGA,2,form_plus_group,0.48598130841121495,1.0545090624034499,0.6337177921070459,0.0416435196206577,0.0416435196206577,-0.01616896608586904,-0.012271304714802644
xG differential,2,form_plus_group,0.4897196261682243,1.0575950551000166,0.6358145540583585,0.040169505960659074,0.040169505960659074,-0.01308297338930231,-0.010174542763490058
Fatigue,8,form_plus_group,0.44672897196261685,1.079984469235998,0.6530648989130464,0.048350186451016186,0.048350186451016186,0.009306440746678968,0.007075802091197847
Tactical pressure,6,form_plus_group,0.4411214953271028,1.0893939167701374,0.6563755060322698,0.05433239729326462,0.05433239729326462,0.018715888280818493,0.010386409210421221
Venue-specific features,8,form_plus_group,0.4504672897196262,1.0566085969984835,0.6358203667438158,0.04821251853139972,0.048212518531399726,-0.014069431490835393,-0.010168730078032762
