feature,permutation_importance,permutation_importance_std
home_xg_last_5_home_matches,0.016891297136037587,0.006659579571111059
home_team_points_last_5,0.006646622632710941,0.002372427186034511
home_goal_diff_home_matches,0.0042970562090133505,0.002767972282964974
home_xga_avg,0.0029668451843407606,0.001589834900688709
away_team_points_last_5,0.0014747877086447535,0.00032625118395433153
home_xga_last_5_home_matches,0.001296443288341731,0.001969583215065976
home_xg_avg,0.000928978636816824,0.001157925665454626
away_xg_last_5_away_matches,0.0007934040938936571,0.0035680655286793057
away_goals_scored_avg,0.0006642022468639653,0.0022845584705511813
home_xg_diff,0.0005374524274984971,0.004005058280342631
home_matches_last_14_days,0.0001947402968500933,0.00026232364544859937
away_matches_last_14_days,6.472808670816565e-05,0.000772584631454375
away_xga_avg,1.0378750943962346e-05,0.0011718791286442697
home_advantage,0.0,0.0
home_had_midweek_match,0.0,0.0
home_days_since_last_match,0.0,0.0
away_days_since_last_match,0.0,0.0
away_attacking_pressure_score_last5,-0.00026481693924562677,0.0007406040967533662
home_goals_scored_avg,-0.00030568480778816467,0.0015562170156074061
home_attacking_pressure_score_last10,-0.0007625573505308347,0.00105800194728933
home_attacking_pressure_score_season,-0.0008287623413542278,0.0013120255837096725
away_had_midweek_match,-0.0008862885458902348,0.00027209642091515363
away_attacking_pressure_score_last10,-0.000989487842946235,0.0008358008224348087
away_xg_diff,-0.0009986572082020472,0.003051066193079318
home_days_rest,-0.001046354443339359,0.002187490652385053
away_xg_avg,-0.001346113163811702,0.00220707955179023
away_goal_diff_away_matches,-0.0013718582422816762,0.0007216931318585298
away_points_last_5_away_matches,-0.0016861777618776054,0.0008270525092525248
home_points_last_5_home_matches,-0.0021102761716029093,0.000698669563345611
home_attacking_pressure_score_last5,-0.002354995057200093,0.0014544948184046795
away_days_rest,-0.0026439675865097766,0.0012898047806810262
away_attacking_pressure_score_season,-0.003783920650347472,0.0019017678907367103
away_xga_last_5_away_matches,-0.004572557075035899,0.0019332917359815315
