feature_group,mean_abs_shap
shot_volume,0.33540583
elo,0.14466149
defense_ratings,0.1409904
attack_ratings,0.1086938
raw_xga,0.103225276
raw_xg,0.0781052
form_home_advantage,0.077239424
fatigue,0.055738445
