,home_xg_avg,away_xg_avg,home_xga_avg,away_xga_avg,home_xg_diff,away_xg_diff,home_xg_attack_rating,away_xg_attack_rating,home_xg_defense_rating,away_xg_defense_rating,home_attack_vs_away_defense,away_attack_vs_home_defense,attack_defense_matchup_score,home_xg_attack_rating_last5,away_xg_attack_rating_last5,home_xg_defense_rating_last5,away_xg_defense_rating_last5,home_xg_attack_rating_last10,away_xg_attack_rating_last10,home_xg_defense_rating_last10,away_xg_defense_rating_last10,home_xg_attack_rating_season,away_xg_attack_rating_season,home_xg_defense_rating_season,away_xg_defense_rating_season,expected_home_goals_model,expected_away_goals_model,expected_goal_diff_model,poisson_home_win_prob,poisson_draw_prob,poisson_away_win_prob
home_xg_avg,1.0,0.08557392138880779,-0.32626461429193016,0.057680680137285216,0.823029264850499,0.01925335129569223,0.3915963101364665,-0.014549545255492343,-0.14347974627245408,0.02441971266116391,0.2970669847431508,-0.1000885808235543,0.24149350565742633,0.42232937487218847,-0.02186345322936202,-0.14361722940383986,0.02521161332435215,0.37638987780707595,-0.028121498588447792,-0.176032033919803,0.03708766436483943,0.34600770915765466,-0.025317312975775035,-0.1986192269007857,0.032445233487544134,0.3031931704687933,-0.09973857117445308,0.2608031510546226,0.2680880312462728,-0.19217817698416542,-0.23148599319098714
away_xg_avg,0.08557392138880779,1.0,0.06891124183009177,-0.34382701182010694,0.012246035947732558,0.8298403123054854,-0.0008097880372814938,0.4212758719935698,0.04035618152433642,-0.17916009894365018,-0.11351842982525706,0.32448310288308835,-0.27421239264252906,-0.009339854622060197,0.44041986418497187,0.03934787157757872,-0.18014889574472998,-0.019542033352912408,0.3898418106849623,0.036951877562148766,-0.2105444705917708,-0.0066318594091812014,0.33289402715769034,0.04169754567006897,-0.21333062801035874,-0.10207412529018993,0.3269749396187403,-0.2497995978088112,-0.23938343750049282,-0.06858986084322898,0.28058750680947386
home_xga_avg,-0.32626461429193016,0.06891124183009177,1.0,0.08013402910654256,-0.8054425270617872,-0.004512063325788661,-0.1434323913180647,0.05850521247523774,0.3700597864375549,-0.007134273305672359,-0.10572860104199813,0.28923002941433956,-0.24714132180754264,-0.15075556424515243,0.05050709731965171,0.4001302143423998,-0.005211652982770576,-0.14866294788076556,0.039841687611208536,0.34806219894243984,-0.010171833439574373,-0.16934313693334155,0.02513137848273817,0.3000723414520857,-0.012952212889443123,-0.09360983554612187,0.29278327587091973,-0.22517744861019948,-0.20807473069713672,-0.048522328832186705,0.240476210812244
away_xga_avg,0.057680680137285216,-0.34382701182010694,0.08013402910654256,1.0,-0.011986111329074242,-0.8093028207005032,0.0720895306401476,-0.1577806152756201,-0.024236593776207276,0.35576160671351953,0.3015972962985004,-0.12904282844621942,0.2626093410065324,0.07457129702758188,-0.1589014408077696,-0.03348163508416732,0.392128393600897,0.09406922253231097,-0.1684664033243954,-0.0387063361047643,0.34688548884946,0.06230767775185043,-0.13428952230299745,-0.03906572843466631,0.2908465238439622,0.3114792751210782,-0.12652671397100304,0.28121659511677694,0.28056249985544324,-0.1652240231503143,-0.2532997044904423
home_xg_diff,0.823029264850499,0.012246035947732558,-0.8054425270617872,-0.011986111329074242,1.0,0.014782739878727528,0.3317100353763597,-0.044276937307560806,-0.312320954015609,0.019597596177312642,0.24978626533713277,-0.2365464272577748,0.29991469934908765,0.3553795043286636,-0.044056728230022935,-0.3304758735602706,0.018938840548649916,0.32531879221489113,-0.04157178679515076,-0.31951278579981157,0.02936540048739153,0.3186959905262447,-0.030974477917817725,-0.3048384327208027,0.028125348042211562,0.24634535762187298,-0.23846205189948572,0.2988238729092255,0.29311468983031347,-0.09133642228085972,-0.2896352232941242
away_xg_diff,0.01925335129569223,0.8298403123054854,-0.004512063325788661,-0.8093028207005032,0.014782739878727528,1.0,-0.04334425818077746,0.3572778144547476,0.03964602508900968,-0.32347367615318157,-0.2502269382469613,0.27965437028246015,-0.32757776056933646,-0.050154793907420545,0.3699189492138883,0.04450897339030783,-0.3457024075694313,-0.06812278366303194,0.3439647306170575,0.046114882063001454,-0.337831036792779,-0.04117346431486221,0.28803338010718155,0.04929699284875347,-0.3062738607067633,-0.24894036437476158,0.2797179354822384,-0.3233638444597459,-0.3164595596570583,0.05527606566678615,0.3260335153933693
home_xg_attack_rating,0.3915963101364665,-0.0008097880372814938,-0.1434323913180647,0.0720895306401476,0.3317100353763597,-0.04334425818077746,1.0,-0.0011045733704357346,-0.3240381780797788,0.03273685060078446,0.716729312542085,-0.20324534925068485,0.5583447467977616,0.9182806126308849,-0.01441960443427935,-0.3296729614220233,0.023239882169673178,0.8356721178697835,-0.011574400608403113,-0.3745694995615026,0.021321249594059056,0.761268151694727,0.006562660822588047,-0.37160249793351074,0.011194555489787173,0.7175925848019908,-0.20469923244254584,0.5999492024773956,0.6195700846548206,-0.4834611633219972,-0.5228834614528286
away_xg_attack_rating,-0.014549545255492343,0.4212758719935698,0.05850521247523774,-0.1577806152756201,-0.044276937307560806,0.3572778144547476,-0.0011045733704357346,1.0,0.02781245663415109,-0.360141089411297,-0.23408348719746164,0.7304073868948769,-0.6044077748531478,-0.006742098434287155,0.9185362296220276,0.042384565559366975,-0.3502175681336219,-0.007861432723678573,0.835043149194658,0.028674462003766214,-0.3956291814565151,-0.008394864050773772,0.7620364946466487,0.01151632131534972,-0.3965006522789923,-0.23013004063711778,0.7305713829966614,-0.5595352414038041,-0.5222380263732195,-0.162388735722689,0.616051827756633
home_xg_defense_rating,-0.14347974627245408,0.04035618152433642,0.3700597864375549,-0.024236593776207276,-0.312320954015609,0.03964602508900968,-0.3240381780797788,0.02781245663415109,1.0,-0.022933428454366023,-0.2413565254595082,0.6559514955099872,-0.5614389269877502,-0.3171669025307635,0.025279534593163806,0.9033682266998804,-0.008917133069457756,-0.3353732744250529,0.03676993330853338,0.7962560208849399,-0.011391835921081261,-0.3408936243756127,0.008345127348089707,0.7097548193838173,-0.012153605683331693,-0.2436577842665103,0.6580481429614928,-0.5286714157112193,-0.5075701925613849,-0.06778829949737648,0.571051348167222
away_xg_defense_rating,0.02441971266116391,-0.17916009894365018,-0.007134273305672359,0.35576160671351953,0.019597596177312642,-0.32347367615318157,0.03273685060078446,-0.360141089411297,-0.022933428454366023,1.0,0.6785503518511203,-0.2713086906152489,0.578744680563679,0.026752270985749456,-0.35256649535332596,-0.01670699530106306,0.9032604067834222,0.03667787914291219,-0.3678153351584162,-0.0326846712330364,0.803805261183961,0.03369231556852256,-0.34701431180023223,-0.025177962966404527,0.7207943306281138,0.6772088572279142,-0.27396537499828433,0.6107913821950435,0.6237191521271589,-0.4069755917113227,-0.5509093033984118
home_attack_vs_away_defense,0.2970669847431508,-0.11351842982525706,-0.10572860104199813,0.3015972962985004,0.24978626533713277,-0.2502269382469613,0.716729312542085,-0.23408348719746164,-0.2413565254595082,0.6785503518511203,1.0,-0.3119985532918905,0.7970845004439715,0.6555711745905244,-0.23737232498971797,-0.24094281353292538,0.6081417193505365,0.6048236599079188,-0.24663741153967036,-0.2786716352017289,0.535912155900534,0.5461138708316419,-0.22007259901955986,-0.2729532410298673,0.4731659258470948,0.9879960279084631,-0.3150091145197289,0.8443395842582517,0.8505403257208453,-0.6682371722494896,-0.7164113652537871
