model_version,train_period,test_period,accuracy,log_loss,Brier_score,calibration_score,expected_calibration_error,draw_recall,draw_log_loss,draw_mean_probability_on_draws
model_a_current_production,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.48785046728971965,1.0437553043780563,0.6263842003405873,0.042870069436752166,0.04287006943675217,0.0364963503649635,0.5803492450116687,0.23406191170215607
model_b_no_raw_xg_plus_ratings,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4672897196261682,1.044228228407833,0.6280236860547006,0.04669825220219443,0.04669825220219442,0.021897810218978103,0.5805437051845137,0.2362028807401657
model_c_no_xg_diff_plus_ratings,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4747663551401869,1.0401038497183517,0.6238827936705443,0.041303007731742204,0.041303007731742204,0.021897810218978103,0.581063462850249,0.23352491855621338
model_d_production_plus_ratings,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.47102803738317756,1.0416963695055184,0.6256136437487095,0.0415147494025691,0.0415147494025691,0.029197080291970802,0.5808523527833394,0.2349039614200592
model_e_no_xg_xga_avgs_plus_ratings,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4616822429906542,1.04495156041522,0.6286748969074583,0.04630705343785687,0.04630705343785687,0.029197080291970802,0.5797666561746331,0.2373916506767273
model_f_ratings_only_xg_representation,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4672897196261682,1.044228228407833,0.6280236860547006,0.04669825220219443,0.04669825220219442,0.021897810218978103,0.5805437051845137,0.2362028807401657
