test,feature_count,log_loss,Brier_score,expected_calibration_error,draw_recall,draw_log_loss
production_reference,40,1.0437553043780563,0.6263842003405873,0.04287006943675217,0.0364963503649635,0.5803492450116687
remove_all_raw_xg,34,1.0411336015374808,0.6255032933056986,0.04680407562545527,0.0364963503649635,0.5782981325066685
remove_xg_avgs,38,1.0459813469190942,0.6279256507649693,0.04520347415472488,0.029197080291970802,0.5800615089989353
remove_xga_avgs,38,1.0446786318602925,0.6271641494883863,0.040927991883777014,0.021897810218978103,0.5806152366151603
remove_xg_diff,38,1.0407276424300016,0.6250237381005285,0.04394540598273649,0.021897810218978103,0.5772315065919142
ratings_reference,53,1.044228228407833,0.6280236860547006,0.04669825220219442,0.021897810218978103,0.5805437051845137
ratings_reference_remove_attack,42,1.0416003601011667,0.6260702169210411,0.047814526374094946,0.0364963503649635,0.5775742111480878
ratings_reference_remove_defense,42,1.0369350387444682,0.6231619528245743,0.034396745937635594,0.043795620437956206,0.5766083243341544
production_plus_ratings_remove_raw_xg,53,1.044228228407833,0.6280236860547006,0.04669825220219442,0.021897810218978103,0.5805437051845137
production_plus_ratings_remove_ratings,40,1.0437553043780563,0.6263842003405873,0.04287006943675217,0.0364963503649635,0.5803492450116687
