model_version,train_period,test_period,accuracy,log_loss,Brier_score,calibration_score,expected_calibration_error,draw_recall,draw_log_loss,draw_mean_probability_on_draws
model_a_current_production,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.48785046728971965,1.0437553043780563,0.6263842003405873,0.042870069436752166,0.04287006943675217,0.0364963503649635,0.5803492450116687,0.23406191170215607
model_b_poisson_only,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4336448598130841,1.1742407081704602,0.7015820289990634,0.11257101134900023,0.11257101134900023,0.0,0.586780965884363,0.2093987746581276
model_c_production_plus_attack_defense_ratings,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.47102803738317756,1.0416963695055184,0.6256136437487095,0.0415147494025691,0.0415147494025691,0.029197080291970802,0.5808523527833394,0.2349039614200592
model_d_production_plus_expected_goals,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.48598130841121495,1.0449366456996065,0.6269774916622998,0.04484713190812559,0.044847131908125594,0.0364963503649635,0.5826841771750029,0.2325747162103653
model_e_production_plus_poisson_probabilities,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4822429906542056,1.043360231733823,0.6262498319269061,0.04331164168327397,0.04331164168327397,0.021897810218978103,0.5799026953508919,0.2330184131860733
model_f_production_plus_all_opponent_adjusted_xg,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4691588785046729,1.0430873908618838,0.6264940039047773,0.04853161751202704,0.04853161751202705,0.021897810218978103,0.5811037362169915,0.2343728244304657
