model,accuracy,log_loss,brier_score,calibration_score,ece
Model A: current production model,0.48598130841121495,1.0487824675697135,0.6295307098814407,0.05279278687877446,0.052792786878774464
Model B: market-only opening model,,,,,
Model C: current model + opening odds,,,,,
Model D: production + safe-prematch odds,,,,,
