Season,Date,HomeTeam,AwayTeam,FTR,odds_source,market_mode,match,actual,model_pick,market_pick,model_confidence,market_confidence,model_market_disagree,model_home_prob,market_home_prob,model_vs_market_home_edge,model_draw_prob,market_draw_prob,model_vs_market_draw_edge,model_away_prob,market_away_prob,model_vs_market_away_edge,max_abs_edge,model_correct,market_correct,model_log_loss,market_log_loss,log_loss_difference_model_minus_market,edge_correct
2425,2024-10-19,Tottenham,West Ham,H,average closing odds,benchmark,Tottenham vs West Ham,home_win,home_win,home_win,0.44894263,0.6612642446274625,False,0.44894263,0.6612642446274625,-0.21232161314438447,0.27551508,0.18333329917969798,0.09218178031859303,0.27554226,0.15540245619283963,0.12013980302346897,0.21232161314438447,True,True,0.80086017,0.4136017540719553,0.3872584124777273,False
2324,2024-04-27,West Ham,Liverpool,D,average closing odds,benchmark,West Ham vs Liverpool,draw,away_win,away_win,0.4071199,0.6184589736757836,False,0.2550703,0.18224551505655223,0.07282478385358876,0.33780977,0.19929551126766418,0.138514260031698,0.4071199,0.6184589736757836,-0.21133907368760918,0.21133907368760918,False,False,1.0852723,1.6129665745074186,-0.527694262343112,False
2425,2025-04-16,Newcastle,Crystal Palace,H,average closing odds,benchmark,Newcastle vs Crystal Palace,home_win,home_win,home_win,0.78329533,0.57273855662791,False,0.78329533,0.57273855662791,0.21055677675755757,0.123421796,0.23971764149589211,-0.11629584582967431,0.09328292,0.18754380187619799,-0.09426087877381914,0.21055677675755757,True,True,0.24424547,0.5573259375462347,-0.3130804679760748,True
2425,2024-09-15,Tottenham,Arsenal,A,average closing odds,benchmark,Tottenham vs Arsenal,away_win,home_win,away_win,0.5568047,0.37962836426393254,True,0.5568047,0.34673637602445817,0.21006834056260848,0.17481129,0.27363525971160946,-0.09882397099720058,0.26838398,0.37962836426393254,-0.11124438446656926,0.21006834056260848,False,True,1.3153366,0.9685624935838885,0.3467740914609724,False
2425,2024-12-01,Chelsea,Aston Villa,H,average closing odds,benchmark,Chelsea vs Aston Villa,home_win,away_win,home_win,0.41514856,0.5584510186338323,True,0.37771577,0.5584510186338323,-0.18073525220393116,0.20713566,0.23542542942406652,-0.028289766987581233,0.41514856,0.20612355194210116,0.20902500429035123,0.20902500429035123,False,True,0.9736133,0.5825883659593031,0.39102495582185537,False
2425,2025-01-16,Ipswich,Brighton,A,average closing odds,benchmark,Ipswich vs Brighton,away_win,draw,away_win,0.37761077,0.48654419846129693,True,0.34332404,0.2515727220390433,0.09175131336706938,0.37761077,0.26188307949965983,0.11572769334846944,0.27906516,0.48654419846129693,-0.20747903651786126,0.20747903651786126,False,True,1.27631,0.7204275316136183,0.5558824354273973,False
2324,2024-04-21,Aston Villa,Bournemouth,H,average closing odds,benchmark,Aston Villa vs Bournemouth,home_win,away_win,home_win,0.36158597,0.5174328629949931,True,0.31027058,0.5174328629949931,-0.20716228532584946,0.32814345,0.237050523441056,0.09109292419650197,0.36158597,0.24551661356395083,0.11606936112934751,0.20716228532584946,False,True,1.1703105,0.6588754956017194,0.5114350016822161,False
2425,2024-11-24,Ipswich,Man United,D,average closing odds,benchmark,Ipswich vs Man United,draw,draw,away_win,0.4411317,0.575257325042598,True,0.15555601,0.1898576547077349,-0.03430164648801598,0.4411317,0.23488502024966715,0.2062466907564974,0.40331227,0.575257325042598,-0.17194505916964264,0.2062466907564974,True,False,0.81841177,1.4486591601056402,-0.6302473926228827,True
2425,2024-12-08,Leicester,Brighton,D,average closing odds,benchmark,Leicester vs Brighton,draw,away_win,away_win,0.43431723,0.5763139048803371,False,0.40149853,0.19561874413621194,0.20587978219855063,0.16418426,0.2280673509834509,-0.06388309359533598,0.43431723,0.5763139048803371,-0.14199667370205338,0.20587978219855063,False,False,1.8067659,1.478114294599182,0.3286516193641358,False
2425,2025-05-04,Brentford,Man United,H,average closing odds,benchmark,Brentford vs Man United,home_win,home_win,home_win,0.37552285,0.5804140415042007,False,0.37552285,0.5804140415042007,-0.204891189560231,0.27294177,0.21965210286282824,0.053289665306574835,0.35153538,0.19993385563297103,0.15160152425365617,0.204891189560231,True,True,0.979436,0.5440135654594376,0.43542241486053923,False
2425,2024-12-15,Man City,Man United,A,average closing odds,benchmark,Man City vs Man United,away_win,home_win,home_win,0.47459307,0.6244133903431015,False,0.47459307,0.6244133903431015,-0.14982031721344757,0.14945827,0.20075086036083012,-0.05129258611556797,0.37594864,0.17483574929606843,0.2011128884278543,0.2011128884278543,False,False,0.9783027,1.7439083212473978,-0.7656056040385355,False
2425,2025-02-15,Man City,Newcastle,H,average closing odds,benchmark,Man City vs Newcastle,home_win,home_win,home_win,0.66581714,0.4651390604369862,False,0.66581714,0.4651390604369862,0.20067808109591173,0.124767125,0.23951190425486604,-0.1147447796020035,0.20941572,0.29534903530814766,-0.08593331639506935,0.20067808109591173,True,True,0.40674022,0.7654188633995291,-0.35867864499857394,True
2425,2024-11-09,Crystal Palace,Fulham,A,average closing odds,benchmark,Crystal Palace vs Fulham,away_win,away_win,away_win,0.6258356,0.4253014246400389,False,0.20855173,0.28691976707059336,-0.07836803238469553,0.16561268,0.28777880828936764,-0.12216612558921047,0.6258356,0.4253014246400389,0.2005341728750673,0.2005341728750673,True,True,0.46866757,0.8549571269984655,-0.38628956022218985,True
2425,2025-04-19,West Ham,Southampton,D,average closing odds,benchmark,West Ham vs Southampton,draw,home_win,home_win,0.39833644,0.5987864014729145,False,0.39833644,0.5987864014729145,-0.20044996114813118,0.26406747,0.2228042424085263,0.04126322861884796,0.33759615,0.17840935611855924,0.15918679213392795,0.20044996114813118,False,False,1.3315506,1.501461729779384,-0.16991113163485272,False
2425,2024-09-14,Southampton,Man United,A,average closing odds,benchmark,Southampton vs Man United,away_win,home_win,away_win,0.3991253,0.533606905334654,True,0.3991253,0.22923447007216638,0.16989083772621924,0.26715094,0.23715862459317957,0.029992313917715202,0.33372375,0.533606905334654,-0.19988315164393444,0.19988315164393444,False,True,1.0974417,0.6280958434324971,0.46934582984631146,False
