model,accuracy,log_loss,brier_score,calibration_score,ece
Model A: current production model,0.48598130841121495,1.0487824675697135,0.6295307098814407,0.05279278687877446,0.052792786878774464
Model B: market-only research model,0.5121495327102804,1.0044775206055014,0.6017337920321174,0.03195398140140346,0.03195398140140346
Model C: current model + research odds (research only),0.4485981308411215,1.3196740634326265,0.7396768435833541,0.17233597129304834,0.1723359712930483
Model D: production + safe-prematch odds,,,,,
