segment,matches,model_accuracy,market_accuracy,mean_abs_edge
all_test_matches,535,0.48598130841121495,0.5177570093457944,0.10788848184595708
model_market_disagreements,84,0.27380952380952384,0.47619047619047616,0.17024807875747883
large_edges_top_quartile,134,0.4925373134328358,0.6044776119402985,0.20205652849775996
