model,log_loss,brier_score,mean_absolute_calibration_error
Baseline,1.068626964402362,0.6439299569194543,0.040558138192900196
xG,1.0490444542779829,0.6304633633721634,0.04707182851034911
xG + schedule,1.0609490794898402,0.6384822513000428,0.042190108222072156
xG + schedule + Elo + shot volume,1.0598378081579511,0.6343522761549394,0.048069325050678395
xG + schedule + injuries,1.0609490794898402,0.6384822513000428,0.042190108222072156
