method,accuracy,log_loss,brier_score,ece,home_win_mean_probability,draw_mean_probability,away_win_mean_probability
raw,0.4851301115241636,1.072886579127228,0.641372120424729,0.05767354453640356,0.4542294144630432,0.21143738925457,0.334333211183548
sigmoid,0.4795539033457249,1.0582012389497937,0.6361735218057056,0.05135684213050653,0.39945139206836144,0.2631147188854092,0.33743388904622945
isotonic,0.47026022304832715,1.32462008012525,0.6498398757965091,0.06037036579001565,0.39797184939134905,0.2621536893027522,0.3398744613058987
temperature_1.25,0.4851301115241636,1.0589456943713098,0.6346051078233725,0.035834487084451666,0.4319974482059479,0.23372825980186462,0.3342742919921875
