class,support,one_vs_rest_brier,actual_class_accuracy,actual_class_mean_probability,actual_class_log_loss
home_win,229,0.22611036385301353,0.7641921397379913,0.4881822466850281,0.7887088656425476
draw,146,0.2042834418655863,0.03424657534246575,0.22462622821331024,1.538595199584961
away_win,165,0.20644431731068527,0.509090909090909,0.3913273811340332,1.0187195539474487
