Date,individual_log_loss
2025-01-26,1.3871313333511353
2025-01-26,1.567798674106598
2025-01-26,1.4441102743148804
2025-01-26,1.4757981598377228
2025-02-01,1.4179151058197021
2025-02-01,1.35324494043986
2025-02-01,1.3423878805977958
2025-02-01,1.3917833119630814
2025-02-01,1.39973873562283
2025-02-01,1.3410177648067474
2025-02-02,1.3460936058651318
2025-02-02,1.3082398821910222
2025-02-02,1.2664845127325792
2025-02-03,1.1966844669410162
2025-02-12,1.2095609545707702
2025-02-14,1.2023376785218716
2025-02-15,1.220645753776326
2025-02-15,1.1994652714994218
2025-02-15,1.1618561603521045
2025-02-15,1.1305466398596764
2025-02-15,1.1555290945938654
2025-02-15,1.1295580091801556
2025-02-15,1.0975736120472783
2025-02-16,1.0611166457335155
2025-02-16,1.0497724270820619
2025-02-19,1.0786651029036596
2025-02-21,1.061311783613982
2025-02-22,1.0470094361475535
2025-02-22,1.039755876722007
2025-02-22,1.0504611472288767
2025-02-22,1.0554119406207916
2025-02-22,1.0645212028175592
2025-02-22,1.070316013061639
2025-02-22,1.0969798477257
2025-02-23,1.0843462450163706
2025-02-23,1.0963650395472844
2025-02-25,1.0900964672501023
2025-02-25,1.0664250387957221
2025-02-25,1.05896202646769
2025-02-25,1.0449036337435245
2025-02-26,1.0596178777334166
2025-02-26,1.0475477923949559
2025-02-26,1.0568002607933311
2025-02-26,1.0471217598427425
2025-02-26,1.027755904197693
2025-02-27,1.0186159636663354
2025-03-08,1.0272616350904424
2025-03-08,1.0412738795081775
2025-03-08,1.0236604666831541
2025-03-08,1.0196866062283516
2025-03-08,1.0328718169647104
2025-03-08,1.017277490061063
2025-03-09,1.0039493492189444
2025-03-09,1.0148642830274723
2025-03-09,1.0171800412914969
2025-03-10,1.0145124308764935
2025-03-15,1.0330258822231961
2025-03-15,1.034501257127729
2025-03-15,1.0268164534690016
2025-03-15,1.021304802596569
2025-03-15,1.027974613865868
2025-03-16,1.028699942654179
2025-03-16,1.024573323745576
2025-03-16,1.018477892037481
2025-04-01,0.9854320771381503
2025-04-01,0.9837382411764514
2025-04-01,0.9820049277373722
2025-04-02,0.9622354553691272
2025-04-02,0.9664780593524545
2025-04-02,0.9546153341730436
2025-04-02,0.9682093462983116
2025-04-02,0.9570008545152603
2025-04-02,0.9636717192710392
2025-04-03,0.9527595145780532
2025-04-05,0.9699034910710131
2025-04-05,0.9654893091609401
2025-04-05,0.964118663753782
2025-04-05,0.9678176599554718
2025-04-05,0.9622688013773698
2025-04-06,0.9732618634447907
2025-04-06,0.9745106888351156
2025-04-06,0.9834649979191668
2025-04-06,0.9755011555077373
2025-04-07,0.9678810558148793
2025-04-12,0.9851724425671806
2025-04-12,0.9803006835281849
2025-04-12,0.9953473026621832
2025-04-12,1.0036855102390856
2025-04-12,0.9990531011422475
2025-04-13,0.9905172049999237
2025-04-13,0.9927441952259917
2025-04-13,1.01221746012762
2025-04-13,1.004685714076727
2025-04-14,0.9971275669109972
2025-04-16,1.003497087293201
2025-04-19,1.0236267145250884
2025-04-19,1.0323049136333995
2025-04-19,1.0253805550810409
2025-04-19,1.0264899980377507
2025-04-19,1.0255278849601746
2025-04-20,1.003895369966825
2025-04-20,1.0066926524435218
2025-04-20,0.9989554465978177
2025-04-20,0.9944261054580028
2025-04-21,0.9969252440371091
2025-04-22,0.9947186333091953
2025-04-23,0.9821345653027704
2025-04-26,0.9923904956701923
2025-04-26,0.9885834911163303
2025-04-26,0.9809135298643793
2025-04-26,0.975040968664935
2025-04-26,0.9673053413215611
2025-04-27,0.9800466397667632
2025-04-27,0.9712584491657175
2025-05-01,0.9800477379906005
2025-05-02,0.9708129514540945
2025-05-03,0.9647262917018272
2025-05-03,0.9747246054725515
2025-05-03,0.9755860826332275
2025-05-03,0.9726694763914959
2025-05-04,0.9758470859130224
2025-05-04,0.980136443713778
2025-05-04,0.9855308987490543
2025-05-04,0.9882971940514369
2025-05-05,0.9928608927168424
2025-05-10,0.9999524254884039
2025-05-10,0.9915169970670217
2025-05-10,1.0118114855140448
2025-05-10,1.0099245054672843
2025-05-10,1.0145071718741108
2025-05-11,1.0128559992710748
