model_name,draw_recall,draw_precision,draw_log_loss,draw_calibration_error,season_carryover
production_without_elo,0.021897810218978103,0.2727272727272727,1.4843056201934814,0.04994671834963506,
production_plus_current_elo,0.0364963503649635,0.625,1.4901466369628906,0.03181842654664941,1.0
production_plus_current_elo_calibrated,0.0364963503649635,0.625,1.8606106042861938,0.11145422992026693,1.0
production_plus_decayed_elo_carry90,0.029197080291970802,0.5,1.5084892511367798,0.051722225936773766,0.9
production_plus_decayed_elo_carry85,0.0072992700729927005,0.3333333333333333,1.5166798830032349,0.05879789284456554,0.85
production_plus_decayed_elo_carry75,0.029197080291970802,0.36363636363636365,1.5111629962921143,0.035066123738467146,0.75
production_plus_decayed_elo_carry65,0.021897810218978103,0.375,1.494256854057312,0.04493444712362557,0.65
production_plus_decayed_elo_carry50,0.014598540145985401,0.2857142857142857,1.5004287958145142,0.05338711032522058,0.5
