feature,permutation_importance,permutation_importance_std
home_team_points_last_5,0.009965768730925518,0.002467681551146317
home_xg_avg,0.006059550306249295,0.0020730732222344513
home_xga_avg,0.00585705225617954,0.0016476500421838645
elo_recent_change,0.005791282190685565,0.0034139911555184765
home_xg_diff,0.005530549594782741,0.006766715624866262
home_elo_trend,0.003314874342611307,0.0030890998702500865
away_xg_diff,0.0031914387962043824,0.004089340031759234
home_goals_scored_avg,0.0027668897220788136,0.001523363835981491
home_elo,0.0024465365308879994,0.0026750373138542433
away_xga_avg,0.0019111258880452286,0.002656856374258311
away_goals_scored_avg,0.0018693257708382927,0.0027815175961800084
elo_difference,0.0013355543501863965,0.0016157857070168166
away_matches_last_14_days,0.00025701603948840023,0.0017268204391065907
away_team_points_last_5,0.0002053564273171382,0.001086525782229645
home_matches_last_14_days,0.0001286600184995601,0.00023331509695961948
home_had_midweek_match,0.0,0.0
home_days_since_last_match,0.0,0.0
away_days_since_last_match,0.0,0.0
elo_gap_bucket,0.0,0.0
home_advantage,0.0,0.0
rolling_elo_form,0.0,0.0
away_xg_avg,-6.73785799641502e-05,0.002809201380096374
away_had_midweek_match,-0.0001316815468782595,0.0002713662782677711
home_days_rest,-0.0008284097924577294,0.0029421883175598353
away_elo_trend,-0.0015314688196145898,0.0011709706535691594
away_days_rest,-0.0018350755509693784,0.0012940011010600353
elo_ratio,-0.0018362592195918515,0.001490486645400914
away_elo,-0.0020464902725648047,0.0018282161821056534
