model_name,accuracy,log_loss,brier_score,calibration_score,ece,train_period,test_period,temperature
current_production_model,0.4822429906542056,1.0571677846769527,0.636612733753669,0.04745657577228694,0.047456575772286944,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,
elo_only_model,0.4542056074766355,1.0776345357818398,0.6498150327112182,0.04707427031340256,0.047074270313402576,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,
current_model_plus_elo,0.4822429906542056,1.0520125786096508,0.6326806952174895,0.047912254855268836,0.04791225485526883,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,
current_model_plus_elo_calibrated,0.4822429906542056,1.1353101879931191,0.6736058383293577,0.12055913375638357,0.12055913375638355,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.6
