elo_feature,mean_abs_corr_with_current,max_abs_corr_with_current,most_correlated_current_feature
away_elo_trend,0.06407078168588731,0.3470057566200774,away_team_points_last_5
away_elo,0.10101391328329984,0.3468165430314847,away_team_points_last_5
home_elo_trend,0.06990270354148338,0.3245914241868748,home_team_points_last_5
home_elo,0.10276406435417461,0.32365322729888735,home_xg_avg
elo_ratio,0.13856526042044992,0.2730792054601926,away_team_points_last_5
elo_difference,0.13897388294308471,0.2723056753162932,away_team_points_last_5
elo_recent_change,0.09304046798322932,0.26925141901835226,away_team_points_last_5
rolling_elo_form,0.09304046798322932,0.26925141901835226,away_team_points_last_5
elo_gap_bucket,0.135306761692651,0.26903187074717055,away_team_points_last_5
