model_name,accuracy,log_loss,brier_score,calibration_score,ece,train_period,test_period,model_type,season_carryover,temperature
production_without_elo,0.4691588785046729,1.0493309526338548,0.6303690999255838,0.05134683499269397,0.05134683499269397,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,production_without_elo,,
production_plus_current_elo,0.48785046728971965,1.0437553003967341,0.6263842005935317,0.04287007047194188,0.04287007047194188,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,production_plus_elo,1.0,
production_plus_current_elo_calibrated,0.48785046728971965,1.1178895259789694,0.6654591751515108,0.11327975986067007,0.11327975986067008,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,calibrated_current_elo,1.0,0.6
production_plus_decayed_elo_carry90,0.48411214953271026,1.044298006933001,0.6269969686534481,0.05215748450559247,0.05215748450559247,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,production_plus_elo,0.9,
production_plus_decayed_elo_carry85,0.4822429906542056,1.046474585263644,0.6286783388110301,0.05275626415589888,0.05275626415589888,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,production_plus_elo,0.85,
production_plus_decayed_elo_carry75,0.4785046728971963,1.0467334301835767,0.6290123499398903,0.04121031055105067,0.04121031055105067,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,production_plus_elo,0.75,
production_plus_decayed_elo_carry65,0.4747663551401869,1.0453300981102545,0.6283119002950742,0.042937868211499634,0.04293786821149963,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,production_plus_elo,0.65,
production_plus_decayed_elo_carry50,0.47289719626168225,1.0520465791946843,0.6331762823701336,0.053385425607363375,0.05338542560736338,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,production_plus_elo,0.5,
