,home_team_points_last_5,away_team_points_last_5,home_goals_scored_avg,away_goals_scored_avg,home_advantage,home_xg_avg,away_xg_avg,home_xga_avg,away_xga_avg,home_xg_diff,away_xg_diff,home_days_rest,away_days_rest,home_matches_last_14_days,away_matches_last_14_days,home_had_midweek_match,away_had_midweek_match,home_days_since_last_match,away_days_since_last_match,home_elo,away_elo,elo_difference,elo_ratio,elo_gap_bucket,elo_recent_change,home_elo_trend,away_elo_trend,rolling_elo_form
home_team_points_last_5,1.0,0.03478430650963194,0.724078744958144,0.02179879388334721,,0.6236370837793519,0.03875153423310126,0.5153347334453583,0.024283036229507275,0.7006644357653954,0.009810486085919164,0.034331629046120304,0.019737985425415105,0.026957387594729144,0.025539162260145874,0.009547016913139845,0.025970131042464432,0.034331629046120304,0.019737985425415105,0.3199659502127392,0.02295145497947219,0.24014465538590923,0.24053659108268888,0.2361289356105118,0.23596821815875274,0.3245914241868748,0.01205772691818008,0.23596821815875274
away_team_points_last_5,0.03478430650963194,1.0,0.0014147235949884727,0.7216454099668481,,0.007839915950272834,0.6174998849935055,0.016798909840863362,0.5259697493045752,0.005178632681782372,0.6988102515273462,0.029642199910203806,0.00370976689398164,0.014167853612045443,0.019673993745698743,0.0066516831292475825,0.06896683335303512,0.029642199910203806,0.00370976689398164,0.04087667834562357,0.3468165430314847,0.2723056753162932,0.2730792054601926,0.26903187074717055,0.26925141901835226,0.032129078121322305,0.3470057566200774,0.26925141901835226
home_goals_scored_avg,0.724078744958144,0.0014147235949884727,1.0,0.031655175573745656,,0.7481027494477809,0.054791601379518794,0.2716385853434998,0.042352352777631753,0.6322701872407289,0.009106683019771012,0.027161599663847628,0.0021934022850434785,0.019930299449805407,0.024446140874825783,0.04640472613197333,0.053431570043483353,0.027161599663847628,0.0021934022850434785,0.2902490998396084,0.03846176342840302,0.23023710668992547,0.23128452138199762,0.22448745519655755,0.15460529266117712,0.19633473948473412,0.0239948275558961,0.15460529266117712
away_goals_scored_avg,0.02179879388334721,0.7216454099668481,0.031655175573745656,1.0,,0.04433063409086502,0.7440094206284832,0.0399096469432698,0.3105419260454409,0.003813660147638055,0.6499320068507249,0.017096681985469674,0.026340370621214967,0.0019117839721488495,0.016838791429383364,0.03051937961613929,0.03163008976315306,0.017096681985469674,0.026340370621214967,0.02238705221445556,0.2970076697619076,0.22436288433201973,0.22378560525344018,0.22732186646420538,0.17251705286806288,0.02821333246057674,0.21482186912506052,0.17251705286806288
home_advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home_xg_avg,0.6236370837793519,0.007839915950272834,0.7481027494477809,0.04433063409086502,,1.0,0.08557392138880779,0.32626461429193016,0.057680680137285216,0.823029264850499,0.01925335129569223,0.017552600953520202,0.021540509012640683,0.01380459195026287,0.006710030360027304,0.04947770189404608,0.06971117967598534,0.017552600953520202,0.021540509012640683,0.32365322729888735,0.025101996956643936,0.24423728590100596,0.24592076024609538,0.23586684388014548,0.0836285411946536,0.1183958879811182,0.0009642100403980132,0.0836285411946536
away_xg_avg,0.03875153423310126,0.6174998849935055,0.054791601379518794,0.7440094206284832,,0.08557392138880779,1.0,0.06891124183009177,0.34382701182010694,0.012246035947732558,0.8298403123054854,0.0005848787244368083,0.014038271383326157,0.0049679165406603994,0.007432878684712246,0.021500747924651432,0.03657980961887097,0.0005848787244368083,0.014038271383326157,0.01596857073350579,0.32437500708031913,0.21673826781109312,0.21314480445299497,0.2171510861401987,0.08917300288258168,0.0011423002179411514,0.1242824719851857,0.08917300288258168
home_xga_avg,0.5153347334453583,0.016798909840863362,0.2716385853434998,0.0399096469432698,,0.32626461429193016,0.06891124183009177,1.0,0.08013402910654256,0.8054425270617872,0.004512063325788661,0.03913055675073612,0.011203268161310823,0.0022126158373957185,0.012376511573254118,0.024679969597765927,0.0009659893783114754,0.03913055675073612,0.011203268161310823,0.1950162745294378,0.04131164320298651,0.16556408880491813,0.16065226706218103,0.15856775807802168,0.1107869528725558,0.1459202367337785,0.012040670728032702,0.1107869528725558
away_xga_avg,0.024283036229507275,0.5259697493045752,0.042352352777631753,0.3105419260454409,,0.057680680137285216,0.34382701182010694,0.08013402910654256,1.0,0.011986111329074242,0.8093028207005032,0.010693025445564126,0.041786402175703646,0.0026110554733967317,0.01762577831007175,0.035717967855449555,0.06800401324469113,0.010693025445564126,0.041786402175703646,0.07673594263320194,0.21139418451353723,0.20225889881864098,0.20515334485576722,0.19257206984976336,0.15074929150533534,0.0463570863359222,0.16633328493350644,0.15074929150533534
home_xg_diff,0.7006644357653954,0.005178632681782372,0.6322701872407289,0.003813660147638055,,0.823029264850499,0.012246035947732558,0.8054425270617872,0.011986111329074242,1.0,0.014782739878727528,0.034517959393743705,0.00677372072813329,0.007325732897887921,0.003229721311689172,0.01619199519228792,0.0431273066606425,0.034517959393743705,0.00677372072813329,0.32010657807721443,0.040561876458806344,0.25261687294442414,0.25072096772065566,0.24316478950980472,0.11900337324951518,0.16191281051652712,0.007839542363813044,0.11900337324951518
away_xg_diff,0.009810486085919164,0.6988102515273462,0.009106683019771012,0.6499320068507249,,0.01925335129569223,0.8298403123054854,0.004512063325788661,0.8093028207005032,0.014782739878727528,1.0,0.005988251112441065,0.016049370517858843,0.004659137715317764,0.01512322966848,0.007775339237275102,0.06329168188584214,0.005988251112441065,0.016049370517858843,0.035609955528951145,0.3285223437838382,0.2557640712155977,0.2552362231828486,0.2502661029203736,0.14535987905747458,0.028261281002654254,0.1765823086255684,0.14535987905747458
home_days_rest,0.034331629046120304,0.029642199910203806,0.027161599663847628,0.017096681985469674,,0.017552600953520202,0.0005848787244368083,0.03913055675073612,0.010693025445564126,0.034517959393743705,0.005988251112441065,1.0,0.4473613412251197,0.26222619005059,0.2503217099000423,0.08841978119056784,0.0697229983125192,1.0,0.4473613412251197,0.033095281222310674,0.019967502787522472,0.037200967919738655,0.036451925811381604,0.03409239387175856,0.033918702485576865,0.03740279257084035,0.010851290523283904,0.033918702485576865
away_days_rest,0.019737985425415105,0.00370976689398164,0.0021934022850434785,0.026340370621214967,,0.021540509012640683,0.014038271383326157,0.011203268161310823,0.041786402175703646,0.00677372072813329,0.016049370517858843,0.4473613412251197,1.0,0.3625425074179125,0.3908300503491974,0.10883688023263481,0.14419839023403952,0.4473613412251197,1.0,0.0013005442700379153,0.0003046533444886626,0.0011246125184154864,0.0013898390706228488,0.0006375211980382042,0.004324377000706572,0.012107678412670422,0.005847193736135538,0.004324377000706572
home_matches_last_14_days,0.026957387594729144,0.014167853612045443,0.019930299449805407,0.0019117839721488495,,0.01380459195026287,0.0049679165406603994,0.0022126158373957185,0.0026110554733967317,0.007325732897887921,0.004659137715317764,0.26222619005059,0.3625425074179125,1.0,0.7693770321756471,0.403412554564912,0.3197191399245761,0.26222619005059,0.3625425074179125,0.006606225342186118,0.03716611660777365,0.021489120222555724,0.02381588860032367,0.021582078448939532,0.0003285118062104504,0.002840958675496631,0.0023369751763329173,0.0003285118062104504
