model_variant,team,seasons,mean_position_error,mean_points_error,mean_expected_position,mean_actual_position
current_without_elo,Fulham,3,3.4222333333333332,8.108400000000001,13.276433333333335,11.666666666666666
current_without_elo,Everton,4,3.3552500000000003,7.6404,11.14475,14.5
current_without_elo,West Ham,4,3.2936499999999995,7.6389499999999995,12.88485,11.0
current_without_elo,Crystal Palace,4,3.201425,9.527275,8.233825,11.25
current_without_elo,Ipswich,1,2.9168999999999983,16.526000000000003,16.0831,19.0
current_without_elo,Brighton,4,2.894075,8.3798,10.040424999999999,8.5
current_without_elo,Man City,4,2.8884,16.982875,3.76255,1.5
current_without_elo,Southampton,3,2.729833333333333,13.888,15.603500000000002,18.333333333333332
current_without_elo,Nott'm Forest,3,2.4828666666666668,8.491666666666669,13.188733333333333,13.333333333333334
current_without_elo,Luton,1,1.6432000000000002,13.847700000000003,16.3568,18.0
current_without_elo,Liverpool,4,1.5127000000000002,7.216274999999996,3.481,2.75
current_without_elo,Norwich,1,1.009599999999999,6.716999999999999,18.9904,20.0
