team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Wolves,40.3237,15.9327,0.0,0.0007,0.0074,0.3667,40.40712404996157,51,10,2122,current_plus_elo,5.9327000000000005,10.676299999999998
Brentford,33.8815,17.8915,0.0,0.0,0.0007,0.6904,33.8073631003499,46,13,2122,current_plus_elo,4.891500000000001,12.118499999999997
Norwich,29.6037,19.0094,0.0,0.0,0.0001,0.8742,29.464834690093994,22,20,2122,current_plus_elo,0.9906000000000006,7.6037
Liverpool,66.4106,3.8365,0.2874,0.6932,0.8243,0.0028,66.46218629930013,92,2,2122,current_plus_elo_calibrated,1.8365,25.589399999999998
Chelsea,63.6083,4.8639,0.1919,0.5851,0.7319,0.0068,63.64927619352022,74,3,2122,current_plus_elo_calibrated,1.8639000000000001,10.3917
Man City,63.6831,4.9988,0.171,0.5649,0.7196,0.007,63.72727539211773,93,1,2122,current_plus_elo_calibrated,3.9988,29.316899999999997
West Ham,61.7948,6.0012,0.1222,0.4631,0.6292,0.0139,61.841191681690404,56,7,2122,current_plus_elo_calibrated,0.9988000000000001,5.794800000000002
Tottenham,56.8794,8.5521,0.0424,0.2458,0.3971,0.0468,56.9154526262989,71,4,2122,current_plus_elo_calibrated,4.552099999999999,14.120600000000003
Arsenal,55.0357,9.1436,0.0344,0.209,0.3485,0.0571,55.05105802047932,69,5,2122,current_plus_elo_calibrated,4.143599999999999,13.964300000000001
Everton,53.9623,9.9659,0.0231,0.1647,0.2875,0.0786,53.89616165551439,39,16,2122,current_plus_elo_calibrated,6.0341000000000005,14.962299999999999
Leicester,53.6787,10.1653,0.0197,0.1503,0.2707,0.0822,53.63373313887732,52,8,2122,current_plus_elo_calibrated,2.1653000000000002,1.6786999999999992
Leeds,53.3549,10.3584,0.0197,0.146,0.2659,0.0887,53.301807064189084,38,17,2122,current_plus_elo_calibrated,6.6416,15.3549
Crystal Palace,53.1523,10.384,0.0201,0.1445,0.2574,0.0916,53.136878355647454,48,12,2122,current_plus_elo_calibrated,1.6159999999999997,5.152299999999997
Man United,53.3925,10.4448,0.0182,0.1348,0.2546,0.0872,53.448176598089674,58,6,2122,current_plus_elo_calibrated,4.444800000000001,4.607500000000002
Newcastle,52.4867,10.9631,0.0141,0.1166,0.2188,0.1095,52.46088699118064,49,11,2122,current_plus_elo_calibrated,0.03689999999999927,3.486699999999999
Brighton,50.0696,12.1295,0.0073,0.0817,0.1592,0.1689,50.00498019284736,51,9,2122,current_plus_elo_calibrated,3.1295,0.9303999999999988
Southampton,49.7824,12.6399,0.0072,0.0663,0.1298,0.1922,49.95084992722966,40,15,2122,current_plus_elo_calibrated,2.360099999999999,9.782400000000003
Watford,49.7998,12.6685,0.0069,0.063,0.1327,0.1929,49.89308287581016,23,19,2122,current_plus_elo_calibrated,6.3315,26.799799999999998
Burnley,48.269,13.1498,0.0044,0.0521,0.1117,0.2269,48.23084523784351,35,18,2122,current_plus_elo_calibrated,4.850199999999999,13.268999999999998
Aston Villa,48.1424,13.1587,0.0045,0.05,0.1083,0.2168,48.03428599722509,45,14,2122,current_plus_elo_calibrated,0.8413000000000004,3.142400000000002
Wolves,49.0238,13.1619,0.0045,0.0517,0.1096,0.22,49.10885774032615,51,10,2122,current_plus_elo_calibrated,3.1618999999999993,1.9761999999999986
Brentford,42.8873,15.882,0.001,0.0134,0.0331,0.4559,42.80180735943029,46,13,2122,current_plus_elo_calibrated,2.8819999999999997,3.1126999999999967
Norwich,39.384,17.5321,0.0,0.0038,0.0101,0.6542,39.2310447762812,22,20,2122,current_plus_elo_calibrated,2.4679,17.384
Man City,87.4087,1.5635,0.5626,0.9963,0.9999,0.0,87.43307579308748,89,1,2223,current_without_elo,0.5634999999999999,1.591300000000004
Tottenham,85.5086,1.8124,0.3851,0.993,0.9995,0.0,85.55588456988335,60,8,2223,current_without_elo,6.1876,25.5086
Brighton,74.5632,3.2927,0.045,0.8716,0.977,0.0,74.45626036822796,62,6,2223,current_without_elo,2.7073,12.563199999999995
Liverpool,65.572,5.3594,0.0041,0.4241,0.7648,0.0003,65.51339358836412,67,5,2223,current_without_elo,0.35939999999999994,1.4279999999999973
Chelsea,62.9173,5.9649,0.0021,0.3009,0.674,0.0006,62.98089376837015,44,12,2223,current_without_elo,6.0351,18.917299999999997
Crystal Palace,59.9785,6.911,0.0006,0.1749,0.5187,0.0022,60.143059216439724,45,11,2223,current_without_elo,4.089,14.978499999999997
Leicester,58.0985,7.6614,0.0005,0.1234,0.397,0.0045,58.05070522427559,34,18,2223,current_without_elo,10.3386,24.0985
Bournemouth,53.1388,9.4255,0.0,0.0455,0.209,0.0188,53.14929184317589,39,15,2223,current_without_elo,5.5745000000000005,14.138800000000003
