team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Sheffield United,37.0755,17.2319,0.0,0.0002,0.0008,0.5725,37.0830695442718,16,20,2324,current_plus_elo_calibrated,2.7681000000000004,21.075499999999998
Wolves,35.2023,17.925,0.0,0.0,0.0011,0.685,35.188570541837215,46,15,2324,current_plus_elo_calibrated,2.9250000000000007,10.797699999999999
Man City,82.0164,1.7483,0.5773,0.9654,0.9974,0.0,82.12726341187954,71,3,2425,current_without_elo,1.2517,11.016400000000004
Newcastle,76.1694,2.9492,0.1912,0.8338,0.9674,0.0,76.24606192857027,66,5,2425,current_without_elo,2.0508,10.169399999999996
Arsenal,73.4592,3.375,0.1232,0.7608,0.9548,0.0,73.37456301599741,74,2,2425,current_without_elo,1.375,0.5408000000000044
Crystal Palace,68.8182,4.6921,0.0482,0.4846,0.828,0.0,68.79074167460203,53,12,2425,current_without_elo,7.3079,15.818200000000004
Chelsea,67.6038,4.9682,0.0286,0.4302,0.8006,0.0,67.62964880466461,69,4,2425,current_without_elo,0.9682000000000004,1.3961999999999932
Liverpool,67.4334,5.128,0.0284,0.3971,0.7737,0.0001,67.57690243795514,84,1,2425,current_without_elo,4.128,16.566599999999994
Tottenham,56.1396,8.9987,0.0011,0.0469,0.2033,0.0084,56.02892582118511,38,17,2425,current_without_elo,8.0013,18.1396
Brentford,54.3432,9.3868,0.0008,0.0352,0.164,0.0108,54.44854764640331,56,10,2425,current_without_elo,0.6132000000000009,1.656799999999997
Nott'm Forest,52.227,10.5074,0.0007,0.0144,0.0881,0.0228,52.29687114059925,65,7,2425,current_without_elo,3.5074000000000005,12.773000000000003
Leicester,50.1464,11.2816,0.0001,0.0113,0.0639,0.0413,50.10436777770519,25,18,2425,current_without_elo,6.718400000000001,25.1464
Bournemouth,48.7768,11.6423,0.0003,0.0078,0.0508,0.049,48.80805020779371,56,9,2425,current_without_elo,2.6423000000000005,7.2231999999999985
Everton,48.5417,11.8623,0.0001,0.0045,0.04,0.0521,48.501140013337135,48,13,2425,current_without_elo,1.1377000000000006,0.5416999999999987
Brighton,47.4467,12.2952,0.0,0.0048,0.0378,0.0702,47.36424821615219,61,8,2425,current_without_elo,4.2951999999999995,13.5533
Fulham,43.67,14.0039,0.0,0.0012,0.0094,0.1563,43.59654465317726,54,11,2425,current_without_elo,3.0039,10.329999999999998
Aston Villa,43.2438,14.0096,0.0,0.0006,0.009,0.1597,43.20411070808768,66,6,2425,current_without_elo,8.0096,22.7562
Man United,43.6933,14.0901,0.0,0.0011,0.0088,0.1573,43.76700473576784,42,15,2425,current_without_elo,0.9099000000000004,1.6933000000000007
Ipswich,38.526,16.0831,0.0,0.0002,0.0024,0.3855,38.503138303756714,22,19,2425,current_without_elo,2.9168999999999983,16.526000000000003
West Ham,37.2593,16.7716,0.0,0.0001,0.0003,0.4735,37.18617255240679,43,14,2425,current_without_elo,2.7715999999999994,5.740699999999997
Southampton,34.6942,17.6004,0.0,0.0,0.0,0.6163,34.681521609425545,12,20,2425,current_without_elo,2.3995999999999995,22.694200000000002
Wolves,31.3391,18.6062,0.0,0.0,0.0003,0.7967,31.35510617122054,42,16,2425,current_without_elo,2.606200000000001,10.660900000000002
Man City,84.4465,1.7114,0.5602,0.9784,0.9987,0.0,84.54941091686487,71,3,2425,current_plus_elo,1.2886,13.4465
Arsenal,79.975,2.342,0.2849,0.9341,0.9947,0.0,79.92197092995048,74,2,2425,current_plus_elo,0.3420000000000001,5.974999999999994
Newcastle,73.7948,3.7555,0.0661,0.7025,0.9501,0.0,73.78408975154161,66,5,2425,current_plus_elo,1.2445,7.794799999999995
Liverpool,72.5713,3.9887,0.0579,0.6401,0.936,0.0,72.70179513841867,84,1,2425,current_plus_elo,2.9887,11.428700000000006
Chelsea,68.6341,4.831,0.0227,0.4349,0.8501,0.0,68.674540810287,69,4,2425,current_plus_elo,0.8310000000000004,0.36589999999999634
Crystal Palace,64.6592,5.8941,0.0077,0.2371,0.6865,0.0004,64.59725013375282,53,12,2425,current_plus_elo,6.1059,11.659199999999998
Tottenham,56.1357,8.7255,0.0002,0.0361,0.2234,0.0084,55.99631332606077,38,17,2425,current_plus_elo,8.2745,18.1357
Brentford,51.3986,10.2848,0.0001,0.0125,0.0973,0.0251,51.488065749406815,56,10,2425,current_plus_elo,0.2848000000000006,4.601399999999998
Aston Villa,50.2622,10.6934,0.0001,0.0095,0.0807,0.032,50.23556202277541,66,6,2425,current_plus_elo,4.6934000000000005,15.7378
Bournemouth,47.7214,11.8564,0.0,0.0035,0.0466,0.0618,47.719387263059616,56,9,2425,current_plus_elo,2.8564000000000007,8.278599999999997
Brighton,47.8127,11.8848,0.0,0.0048,0.0433,0.0649,47.72630900889635,61,8,2425,current_plus_elo,3.8848000000000003,13.1873
Everton,46.1782,12.673,0.0001,0.0021,0.0239,0.0973,46.09686079621315,48,13,2425,current_plus_elo,0.32699999999999996,1.8218000000000032
Man United,45.7716,12.9831,0.0,0.0013,0.0203,0.1125,45.81883918493986,42,15,2425,current_plus_elo,2.0168999999999997,3.7715999999999994
Nott'm Forest,44.2553,13.6981,0.0,0.001,0.0132,0.1616,44.36307705938816,65,7,2425,current_plus_elo,6.6981,20.7447
Leicester,43.6051,13.9024,0.0,0.0009,0.012,0.1808,43.615304943174124,25,18,2425,current_plus_elo,4.0976,18.6051
Ipswich,43.0407,14.1039,0.0,0.0007,0.0115,0.2022,43.01620212942362,22,19,2425,current_plus_elo,4.896100000000001,21.0407
Fulham,42.2852,14.4345,0.0,0.0003,0.0092,0.2187,42.19618869572878,54,11,2425,current_plus_elo,3.4345,11.714799999999997
West Ham,39.488,15.8235,0.0,0.0002,0.0019,0.3608,39.39706793427467,43,14,2425,current_plus_elo,1.8234999999999992,3.5120000000000005
Wolves,36.1264,17.106,0.0,0.0,0.0006,0.5565,36.144170969724655,42,16,2425,current_plus_elo,1.1060000000000016,5.873600000000003
Southampton,27.5823,19.3079,0.0,0.0,0.0,0.917,27.595082130283117,12,20,2425,current_plus_elo,0.6920999999999999,15.5823
Man City,79.5257,1.9748,0.4653,0.951,0.9939,0.0,79.61500448141949,71,3,2425,current_plus_elo_calibrated,1.0252,8.5257
Arsenal,77.3792,2.2316,0.3692,0.9246,0.9899,0.0,77.32452072238542,74,2,2425,current_plus_elo_calibrated,0.2315999999999998,3.3791999999999973
Liverpool,68.0788,4.4919,0.0534,0.5492,0.849,0.0,68.18560398782557,84,1,2425,current_plus_elo_calibrated,3.4919000000000002,15.921199999999999
Chelsea,67.518,4.55,0.0452,0.541,0.8414,0.0001,67.54650884677986,69,4,2425,current_plus_elo_calibrated,0.5499999999999998,1.4819999999999993
Newcastle,67.9176,4.574,0.0426,0.5322,0.8472,0.0001,68.0049671175533,66,5,2425,current_plus_elo_calibrated,0.42600000000000016,1.917599999999993
Crystal Palace,64.2882,5.5445,0.0218,0.3524,0.7137,0.0008,64.20768725686642,53,12,2425,current_plus_elo_calibrated,6.4555,11.288200000000003
Tottenham,54.6101,9.2634,0.0009,0.0476,0.2043,0.0189,54.44810476705032,38,17,2425,current_plus_elo_calibrated,7.736599999999999,16.610100000000003
Brighton,52.3178,10.0042,0.0007,0.0361,0.1541,0.0287,52.22705538015869,61,8,2425,current_plus_elo_calibrated,2.004200000000001,8.682200000000002
Aston Villa,50.6253,10.6648,0.0005,0.0222,0.1147,0.0442,50.59850024134047,66,6,2425,current_plus_elo_calibrated,4.6648,15.374699999999997
Bournemouth,48.1942,11.8267,0.0002,0.0127,0.0702,0.0755,48.23518162575393,56,9,2425,current_plus_elo_calibrated,2.8267000000000007,7.805799999999998
Brentford,48.2162,11.8797,0.0001,0.0106,0.0649,0.0835,48.311453849146396,56,10,2425,current_plus_elo_calibrated,1.8796999999999997,7.783799999999999
Nott'm Forest,46.3781,13.0311,0.0,0.0048,0.0336,0.1386,46.46068126561735,65,7,2425,current_plus_elo_calibrated,6.0311,18.621899999999997
Ipswich,45.9775,13.0855,0.0,0.0044,0.0368,0.1428,45.96387742426495,22,19,2425,current_plus_elo_calibrated,5.9145,23.9775
Everton,45.304,13.3233,0.0001,0.004,0.027,0.1495,45.23443233049023,48,13,2425,current_plus_elo_calibrated,0.3232999999999997,2.695999999999998
Man United,44.2384,14.0019,0.0,0.0024,0.0172,0.1972,44.28093768876659,42,15,2425,current_plus_elo_calibrated,0.9981000000000009,2.2383999999999986
Fulham,42.9716,14.4554,0.0,0.0017,0.0147,0.2355,42.919703468674314,54,11,2425,current_plus_elo_calibrated,3.455399999999999,11.028399999999998
Leicester,42.9517,14.5334,0.0,0.0017,0.0152,0.2522,42.97284976056533,25,18,2425,current_plus_elo_calibrated,3.4665999999999997,17.951700000000002
West Ham,42.0599,15.0711,0.0,0.0012,0.0099,0.3025,41.96329136610233,43,14,2425,current_plus_elo_calibrated,1.0710999999999995,0.940100000000001
Wolves,38.7597,16.5177,0.0,0.0002,0.0023,0.4748,38.76747355162635,42,16,2425,current_plus_elo_calibrated,0.5177000000000014,3.2402999999999977
Southampton,30.4629,18.975,0.0,0.0,0.0,0.8551,30.451908710771125,12,20,2425,current_plus_elo_calibrated,1.0249999999999986,18.4629
