match_id,season,date,team,opponent,is_home,formation,captain,lineup_type,source,source_collected_at
2425_20240831_nottm_forest_wolves,2425,2024-08-31,Wolves,Nott'm Forest,0,,,actual,fbref_soccerdata,2024-09-01
2425_20240831_west_ham_man_city,2425,2024-08-31,West Ham,Man City,1,,,actual,fbref_soccerdata,2024-09-01
2425_20240831_west_ham_man_city,2425,2024-08-31,Man City,West Ham,0,,,actual,fbref_soccerdata,2024-09-01
2425_20240901_chelsea_crystal_palace,2425,2024-09-01,Chelsea,Crystal Palace,1,,,actual,fbref_soccerdata,2024-09-02
2425_20240901_chelsea_crystal_palace,2425,2024-09-01,Crystal Palace,Chelsea,0,,,actual,fbref_soccerdata,2024-09-02
2425_20240901_man_united_liverpool,2425,2024-09-01,Man United,Liverpool,1,,,actual,fbref_soccerdata,2024-09-02
2425_20240901_man_united_liverpool,2425,2024-09-01,Liverpool,Man United,0,,,actual,fbref_soccerdata,2024-09-02
2425_20240901_newcastle_tottenham,2425,2024-09-01,Newcastle,Tottenham,1,,,actual,fbref_soccerdata,2024-09-02
2425_20240901_newcastle_tottenham,2425,2024-09-01,Tottenham,Newcastle,0,,,actual,fbref_soccerdata,2024-09-02
2425_20240914_aston_villa_everton,2425,2024-09-14,Aston Villa,Everton,1,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_aston_villa_everton,2425,2024-09-14,Everton,Aston Villa,0,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_bournemouth_chelsea,2425,2024-09-14,Bournemouth,Chelsea,1,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_bournemouth_chelsea,2425,2024-09-14,Chelsea,Bournemouth,0,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_brighton_ipswich,2425,2024-09-14,Brighton,Ipswich,1,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_brighton_ipswich,2425,2024-09-14,Ipswich,Brighton,0,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_crystal_palace_leicester,2425,2024-09-14,Crystal Palace,Leicester,1,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_crystal_palace_leicester,2425,2024-09-14,Leicester,Crystal Palace,0,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_fulham_west_ham,2425,2024-09-14,Fulham,West Ham,1,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_fulham_west_ham,2425,2024-09-14,West Ham,Fulham,0,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_liverpool_nottm_forest,2425,2024-09-14,Liverpool,Nott'm Forest,1,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_liverpool_nottm_forest,2425,2024-09-14,Nott'm Forest,Liverpool,0,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_man_city_brentford,2425,2024-09-14,Man City,Brentford,1,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_man_city_brentford,2425,2024-09-14,Brentford,Man City,0,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_southampton_man_united,2425,2024-09-14,Southampton,Man United,1,,,actual,fbref_soccerdata,2024-09-15
2425_20240914_southampton_man_united,2425,2024-09-14,Man United,Southampton,0,,,actual,fbref_soccerdata,2024-09-15
2425_20240915_tottenham_arsenal,2425,2024-09-15,Tottenham,Arsenal,1,,,actual,fbref_soccerdata,2024-09-16
2425_20240915_tottenham_arsenal,2425,2024-09-15,Arsenal,Tottenham,0,,,actual,fbref_soccerdata,2024-09-16
2425_20240915_wolves_newcastle,2425,2024-09-15,Wolves,Newcastle,1,,,actual,fbref_soccerdata,2024-09-16
2425_20240915_wolves_newcastle,2425,2024-09-15,Newcastle,Wolves,0,,,actual,fbref_soccerdata,2024-09-16
2425_20240921_aston_villa_wolves,2425,2024-09-21,Aston Villa,Wolves,1,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_aston_villa_wolves,2425,2024-09-21,Wolves,Aston Villa,0,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_crystal_palace_man_united,2425,2024-09-21,Crystal Palace,Man United,1,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_crystal_palace_man_united,2425,2024-09-21,Man United,Crystal Palace,0,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_fulham_newcastle,2425,2024-09-21,Fulham,Newcastle,1,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_fulham_newcastle,2425,2024-09-21,Newcastle,Fulham,0,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_leicester_everton,2425,2024-09-21,Leicester,Everton,1,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_leicester_everton,2425,2024-09-21,Everton,Leicester,0,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_liverpool_bournemouth,2425,2024-09-21,Liverpool,Bournemouth,1,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_liverpool_bournemouth,2425,2024-09-21,Bournemouth,Liverpool,0,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_southampton_ipswich,2425,2024-09-21,Southampton,Ipswich,1,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_southampton_ipswich,2425,2024-09-21,Ipswich,Southampton,0,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_tottenham_brentford,2425,2024-09-21,Tottenham,Brentford,1,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_tottenham_brentford,2425,2024-09-21,Brentford,Tottenham,0,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_west_ham_chelsea,2425,2024-09-21,West Ham,Chelsea,1,,,actual,fbref_soccerdata,2024-09-22
2425_20240921_west_ham_chelsea,2425,2024-09-21,Chelsea,West Ham,0,,,actual,fbref_soccerdata,2024-09-22
2425_20240922_brighton_nottm_forest,2425,2024-09-22,Brighton,Nott'm Forest,1,,,actual,fbref_soccerdata,2024-09-23
2425_20240922_brighton_nottm_forest,2425,2024-09-22,Nott'm Forest,Brighton,0,,,actual,fbref_soccerdata,2024-09-23
2425_20240922_man_city_arsenal,2425,2024-09-22,Man City,Arsenal,1,,,actual,fbref_soccerdata,2024-09-23
2425_20240922_man_city_arsenal,2425,2024-09-22,Arsenal,Man City,0,,,actual,fbref_soccerdata,2024-09-23
2425_20240928_arsenal_leicester,2425,2024-09-28,Arsenal,Leicester,1,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_arsenal_leicester,2425,2024-09-28,Leicester,Arsenal,0,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_brentford_west_ham,2425,2024-09-28,Brentford,West Ham,1,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_brentford_west_ham,2425,2024-09-28,West Ham,Brentford,0,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_chelsea_brighton,2425,2024-09-28,Chelsea,Brighton,1,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_chelsea_brighton,2425,2024-09-28,Brighton,Chelsea,0,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_everton_crystal_palace,2425,2024-09-28,Everton,Crystal Palace,1,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_everton_crystal_palace,2425,2024-09-28,Crystal Palace,Everton,0,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_newcastle_man_city,2425,2024-09-28,Newcastle,Man City,1,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_newcastle_man_city,2425,2024-09-28,Man City,Newcastle,0,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_nottm_forest_fulham,2425,2024-09-28,Nott'm Forest,Fulham,1,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_nottm_forest_fulham,2425,2024-09-28,Fulham,Nott'm Forest,0,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_wolves_liverpool,2425,2024-09-28,Wolves,Liverpool,1,,,actual,fbref_soccerdata,2024-09-29
2425_20240928_wolves_liverpool,2425,2024-09-28,Liverpool,Wolves,0,,,actual,fbref_soccerdata,2024-09-29
2425_20240929_ipswich_aston_villa,2425,2024-09-29,Ipswich,Aston Villa,1,,,actual,fbref_soccerdata,2024-09-30
2425_20240929_ipswich_aston_villa,2425,2024-09-29,Aston Villa,Ipswich,0,,,actual,fbref_soccerdata,2024-09-30
2425_20240929_man_united_tottenham,2425,2024-09-29,Man United,Tottenham,1,,,actual,fbref_soccerdata,2024-09-30
2425_20240929_man_united_tottenham,2425,2024-09-29,Tottenham,Man United,0,,,actual,fbref_soccerdata,2024-09-30
2425_20240930_bournemouth_southampton,2425,2024-09-30,Bournemouth,Southampton,1,,,actual,fbref_soccerdata,2024-10-01
2425_20240930_bournemouth_southampton,2425,2024-09-30,Southampton,Bournemouth,0,,,actual,fbref_soccerdata,2024-10-01
2425_20241005_arsenal_southampton,2425,2024-10-05,Arsenal,Southampton,1,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_arsenal_southampton,2425,2024-10-05,Southampton,Arsenal,0,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_brentford_wolves,2425,2024-10-05,Brentford,Wolves,1,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_brentford_wolves,2425,2024-10-05,Wolves,Brentford,0,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_crystal_palace_liverpool,2425,2024-10-05,Crystal Palace,Liverpool,1,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_crystal_palace_liverpool,2425,2024-10-05,Liverpool,Crystal Palace,0,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_everton_newcastle,2425,2024-10-05,Everton,Newcastle,1,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_everton_newcastle,2425,2024-10-05,Newcastle,Everton,0,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_leicester_bournemouth,2425,2024-10-05,Leicester,Bournemouth,1,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_leicester_bournemouth,2425,2024-10-05,Bournemouth,Leicester,0,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_man_city_fulham,2425,2024-10-05,Man City,Fulham,1,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_man_city_fulham,2425,2024-10-05,Fulham,Man City,0,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_west_ham_ipswich,2425,2024-10-05,West Ham,Ipswich,1,,,actual,fbref_soccerdata,2024-10-06
2425_20241005_west_ham_ipswich,2425,2024-10-05,Ipswich,West Ham,0,,,actual,fbref_soccerdata,2024-10-06
2425_20241006_aston_villa_man_united,2425,2024-10-06,Aston Villa,Man United,1,,,actual,fbref_soccerdata,2024-10-07
2425_20241006_aston_villa_man_united,2425,2024-10-06,Man United,Aston Villa,0,,,actual,fbref_soccerdata,2024-10-07
2425_20241006_brighton_tottenham,2425,2024-10-06,Brighton,Tottenham,1,,,actual,fbref_soccerdata,2024-10-07
2425_20241006_brighton_tottenham,2425,2024-10-06,Tottenham,Brighton,0,,,actual,fbref_soccerdata,2024-10-07
2425_20241006_chelsea_nottm_forest,2425,2024-10-06,Chelsea,Nott'm Forest,1,,,actual,fbref_soccerdata,2024-10-07
2425_20241006_chelsea_nottm_forest,2425,2024-10-06,Nott'm Forest,Chelsea,0,,,actual,fbref_soccerdata,2024-10-07
2425_20241019_bournemouth_arsenal,2425,2024-10-19,Bournemouth,Arsenal,1,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_bournemouth_arsenal,2425,2024-10-19,Arsenal,Bournemouth,0,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_fulham_aston_villa,2425,2024-10-19,Fulham,Aston Villa,1,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_fulham_aston_villa,2425,2024-10-19,Aston Villa,Fulham,0,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_ipswich_everton,2425,2024-10-19,Ipswich,Everton,1,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_ipswich_everton,2425,2024-10-19,Everton,Ipswich,0,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_man_united_brentford,2425,2024-10-19,Man United,Brentford,1,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_man_united_brentford,2425,2024-10-19,Brentford,Man United,0,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_newcastle_brighton,2425,2024-10-19,Newcastle,Brighton,1,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_newcastle_brighton,2425,2024-10-19,Brighton,Newcastle,0,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_southampton_leicester,2425,2024-10-19,Southampton,Leicester,1,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_southampton_leicester,2425,2024-10-19,Leicester,Southampton,0,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_tottenham_west_ham,2425,2024-10-19,Tottenham,West Ham,1,,,actual,fbref_soccerdata,2024-10-20
2425_20241019_tottenham_west_ham,2425,2024-10-19,West Ham,Tottenham,0,,,actual,fbref_soccerdata,2024-10-20
2425_20241020_liverpool_chelsea,2425,2024-10-20,Liverpool,Chelsea,1,,,actual,fbref_soccerdata,2024-10-21
2425_20241020_liverpool_chelsea,2425,2024-10-20,Chelsea,Liverpool,0,,,actual,fbref_soccerdata,2024-10-21
2425_20241020_wolves_man_city,2425,2024-10-20,Wolves,Man City,1,,,actual,fbref_soccerdata,2024-10-21
2425_20241020_wolves_man_city,2425,2024-10-20,Man City,Wolves,0,,,actual,fbref_soccerdata,2024-10-21
2425_20241021_nottm_forest_crystal_palace,2425,2024-10-21,Nott'm Forest,Crystal Palace,1,,,actual,fbref_soccerdata,2024-10-22
2425_20241021_nottm_forest_crystal_palace,2425,2024-10-21,Crystal Palace,Nott'm Forest,0,,,actual,fbref_soccerdata,2024-10-22
2425_20241025_leicester_nottm_forest,2425,2024-10-25,Leicester,Nott'm Forest,1,,,actual,fbref_soccerdata,2024-10-26
2425_20241025_leicester_nottm_forest,2425,2024-10-25,Nott'm Forest,Leicester,0,,,actual,fbref_soccerdata,2024-10-26
2425_20241026_aston_villa_bournemouth,2425,2024-10-26,Aston Villa,Bournemouth,1,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_aston_villa_bournemouth,2425,2024-10-26,Bournemouth,Aston Villa,0,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_brentford_ipswich,2425,2024-10-26,Brentford,Ipswich,1,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_brentford_ipswich,2425,2024-10-26,Ipswich,Brentford,0,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_brighton_wolves,2425,2024-10-26,Brighton,Wolves,1,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_brighton_wolves,2425,2024-10-26,Wolves,Brighton,0,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_everton_fulham,2425,2024-10-26,Everton,Fulham,1,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_everton_fulham,2425,2024-10-26,Fulham,Everton,0,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_man_city_southampton,2425,2024-10-26,Man City,Southampton,1,,,actual,fbref_soccerdata,2024-10-27
2425_20241026_man_city_southampton,2425,2024-10-26,Southampton,Man City,0,,,actual,fbref_soccerdata,2024-10-27
2425_20241027_arsenal_liverpool,2425,2024-10-27,Arsenal,Liverpool,1,,,actual,fbref_soccerdata,2024-10-28
2425_20241027_arsenal_liverpool,2425,2024-10-27,Liverpool,Arsenal,0,,,actual,fbref_soccerdata,2024-10-28
2425_20241027_chelsea_newcastle,2425,2024-10-27,Chelsea,Newcastle,1,,,actual,fbref_soccerdata,2024-10-28
2425_20241027_chelsea_newcastle,2425,2024-10-27,Newcastle,Chelsea,0,,,actual,fbref_soccerdata,2024-10-28
