match_id,season,date,team,formation,manager,source,source_collected_at
2425_20240914_aston_villa_everton,2425,2024-09-14,Everton,,,fbref_soccerdata,2024-09-15
2425_20240914_bournemouth_chelsea,2425,2024-09-14,Bournemouth,,,fbref_soccerdata,2024-09-15
2425_20240914_bournemouth_chelsea,2425,2024-09-14,Chelsea,,,fbref_soccerdata,2024-09-15
2425_20240914_brighton_ipswich,2425,2024-09-14,Brighton,,,fbref_soccerdata,2024-09-15
2425_20240914_brighton_ipswich,2425,2024-09-14,Ipswich,,,fbref_soccerdata,2024-09-15
2425_20240914_crystal_palace_leicester,2425,2024-09-14,Crystal Palace,,,fbref_soccerdata,2024-09-15
2425_20240914_crystal_palace_leicester,2425,2024-09-14,Leicester,,,fbref_soccerdata,2024-09-15
2425_20240914_fulham_west_ham,2425,2024-09-14,Fulham,,,fbref_soccerdata,2024-09-15
2425_20240914_fulham_west_ham,2425,2024-09-14,West Ham,,,fbref_soccerdata,2024-09-15
2425_20240914_liverpool_nottm_forest,2425,2024-09-14,Liverpool,,,fbref_soccerdata,2024-09-15
2425_20240914_liverpool_nottm_forest,2425,2024-09-14,Nott'm Forest,,,fbref_soccerdata,2024-09-15
2425_20240914_man_city_brentford,2425,2024-09-14,Man City,,,fbref_soccerdata,2024-09-15
2425_20240914_man_city_brentford,2425,2024-09-14,Brentford,,,fbref_soccerdata,2024-09-15
2425_20240914_southampton_man_united,2425,2024-09-14,Southampton,,,fbref_soccerdata,2024-09-15
2425_20240914_southampton_man_united,2425,2024-09-14,Man United,,,fbref_soccerdata,2024-09-15
2425_20240915_tottenham_arsenal,2425,2024-09-15,Tottenham,,,fbref_soccerdata,2024-09-16
2425_20240915_tottenham_arsenal,2425,2024-09-15,Arsenal,,,fbref_soccerdata,2024-09-16
2425_20240915_wolves_newcastle,2425,2024-09-15,Wolves,,,fbref_soccerdata,2024-09-16
2425_20240915_wolves_newcastle,2425,2024-09-15,Newcastle,,,fbref_soccerdata,2024-09-16
2425_20240921_aston_villa_wolves,2425,2024-09-21,Aston Villa,,,fbref_soccerdata,2024-09-22
2425_20240921_aston_villa_wolves,2425,2024-09-21,Wolves,,,fbref_soccerdata,2024-09-22
2425_20240921_crystal_palace_man_united,2425,2024-09-21,Crystal Palace,,,fbref_soccerdata,2024-09-22
2425_20240921_crystal_palace_man_united,2425,2024-09-21,Man United,,,fbref_soccerdata,2024-09-22
2425_20240921_fulham_newcastle,2425,2024-09-21,Fulham,,,fbref_soccerdata,2024-09-22
2425_20240921_fulham_newcastle,2425,2024-09-21,Newcastle,,,fbref_soccerdata,2024-09-22
2425_20240921_leicester_everton,2425,2024-09-21,Leicester,,,fbref_soccerdata,2024-09-22
2425_20240921_leicester_everton,2425,2024-09-21,Everton,,,fbref_soccerdata,2024-09-22
2425_20240921_liverpool_bournemouth,2425,2024-09-21,Liverpool,,,fbref_soccerdata,2024-09-22
2425_20240921_liverpool_bournemouth,2425,2024-09-21,Bournemouth,,,fbref_soccerdata,2024-09-22
2425_20240921_southampton_ipswich,2425,2024-09-21,Southampton,,,fbref_soccerdata,2024-09-22
2425_20240921_southampton_ipswich,2425,2024-09-21,Ipswich,,,fbref_soccerdata,2024-09-22
2425_20240921_tottenham_brentford,2425,2024-09-21,Tottenham,,,fbref_soccerdata,2024-09-22
2425_20240921_tottenham_brentford,2425,2024-09-21,Brentford,,,fbref_soccerdata,2024-09-22
2425_20240921_west_ham_chelsea,2425,2024-09-21,West Ham,,,fbref_soccerdata,2024-09-22
2425_20240921_west_ham_chelsea,2425,2024-09-21,Chelsea,,,fbref_soccerdata,2024-09-22
2425_20240922_brighton_nottm_forest,2425,2024-09-22,Brighton,,,fbref_soccerdata,2024-09-23
2425_20240922_brighton_nottm_forest,2425,2024-09-22,Nott'm Forest,,,fbref_soccerdata,2024-09-23
2425_20240922_man_city_arsenal,2425,2024-09-22,Man City,,,fbref_soccerdata,2024-09-23
2425_20240922_man_city_arsenal,2425,2024-09-22,Arsenal,,,fbref_soccerdata,2024-09-23
2425_20240928_arsenal_leicester,2425,2024-09-28,Arsenal,,,fbref_soccerdata,2024-09-29
2425_20240928_arsenal_leicester,2425,2024-09-28,Leicester,,,fbref_soccerdata,2024-09-29
2425_20240928_brentford_west_ham,2425,2024-09-28,Brentford,,,fbref_soccerdata,2024-09-29
2425_20240928_brentford_west_ham,2425,2024-09-28,West Ham,,,fbref_soccerdata,2024-09-29
2425_20240928_chelsea_brighton,2425,2024-09-28,Chelsea,,,fbref_soccerdata,2024-09-29
2425_20240928_chelsea_brighton,2425,2024-09-28,Brighton,,,fbref_soccerdata,2024-09-29
2425_20240928_everton_crystal_palace,2425,2024-09-28,Everton,,,fbref_soccerdata,2024-09-29
2425_20240928_everton_crystal_palace,2425,2024-09-28,Crystal Palace,,,fbref_soccerdata,2024-09-29
2425_20240928_newcastle_man_city,2425,2024-09-28,Newcastle,,,fbref_soccerdata,2024-09-29
2425_20240928_newcastle_man_city,2425,2024-09-28,Man City,,,fbref_soccerdata,2024-09-29
2425_20240928_nottm_forest_fulham,2425,2024-09-28,Nott'm Forest,,,fbref_soccerdata,2024-09-29
2425_20240928_nottm_forest_fulham,2425,2024-09-28,Fulham,,,fbref_soccerdata,2024-09-29
2425_20240928_wolves_liverpool,2425,2024-09-28,Wolves,,,fbref_soccerdata,2024-09-29
2425_20240928_wolves_liverpool,2425,2024-09-28,Liverpool,,,fbref_soccerdata,2024-09-29
2425_20240929_ipswich_aston_villa,2425,2024-09-29,Ipswich,,,fbref_soccerdata,2024-09-30
