model,accuracy,log_loss,brier_score,calibration_score,ece
Market-only preclosing,0.5177570093457944,1.0017835195134293,0.6005643122934989,0.02984709774775333,0.029847097747753334
Best validation blend,0.5177570093457944,1.0017835195134293,0.6005643122934989,0.029847097747753338,0.02984709774775334
Residual market overlay,0.5121495327102804,1.001997119318534,0.6008835349192089,0.035757948495026746,0.03575794849502674
Logistic stacking overlay,0.4803738317757009,1.0202524492588854,0.6131992597225429,0.056749812091360506,0.05674981209136049
Production model,0.48598130841121495,1.0487824675697135,0.6295307098814407,0.05279278687877446,0.052792786878774464
