Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
2026-08-21,Arsenal,Coventry,3,0,H,2627
2026-08-22,Hull,Man United,2,0,H,2627
2026-08-22,Everton,Crystal Palace,2,0,H,2627
2026-08-22,Ipswich,Sunderland,2,1,H,2627
2026-08-22,Nott'm Forest,Leeds,0,1,A,2627
2026-08-22,Brentford,Tottenham,3,0,H,2627
2026-08-23,Brighton,Aston Villa,4,0,H,2627
2026-08-23,Man City,Bournemouth,2,1,H,2627
2026-08-23,Newcastle,Liverpool,2,2,D,2627
2026-08-24,Fulham,Chelsea,2,3,A,2627
