team,local_pl_match_count,latest_premier_league_match,raw_recent_form_points_last5,raw_recent_goals_scored_avg_last5,raw_xg_strength_last5,raw_xga_strength_last5,raw_xg_diff_last5,raw_shots_avg_last5,raw_shots_on_target_avg_last5,raw_shots_avg_last10,raw_shots_on_target_avg_last10,raw_shots_avg_latest_season,raw_shots_on_target_avg_latest_season,elo_rating,elo_recent_change,elo_fallback,data_source_league,source_league,premier_league_matches_available,current_promoted_team,current_season_pl_matches,current_season_points,current_season_blend_weight,championship_data_available,championship_match_count,championship_latest_match,promotion_adjustment_applied,fallback_used,fallback_reason,raw_recent_form,adjusted_recent_form,raw_xg,adjusted_xg,raw_xga,adjusted_xga,raw_shot_volume,adjusted_shot_volume,promoted_team_uncertainty_flag,championship_xg_available,recent_form_points_last5,recent_goals_scored_avg_last5,xg_strength_last5,xga_strength_last5,xg_diff_last5,shots_avg_last5,shots_on_target_avg_last5,shots_avg_last10,shots_on_target_avg_last10,shots_avg_latest_season,shots_on_target_avg_latest_season,fallback_flags,squad_market_value_eur,average_player_value_eur,squad_size,squad_strength_rank,squad_strength_percentile,squad_strength_score,squad_strength_bucket,squad_strength_used,source,source_url,last_updated,data_confidence,promoted_team_flag,expected_points,expected_position,projected_position,relegation_probability
Coventry,5,2026-09-19,3.0,0.2,0.9951192000000001,1.7176092,-0.72249,10.2,3.2,10.2,3.2,10.2,3.2,1483.4146042545024,-13.00296360352354,False,Premier League historical data,Premier League historical data,5,True,5,3,1.0,True,46,2026-05-02,False,False,none,11.0,3.0,,0.9951192000000001,,1.7176092,16.0,10.2,False,False,3.0,0.2,0.9951192000000001,1.7176092,-0.72249,10.2,3.2,10.2,3.2,10.2,3.2,none,194250000,7471154,26,19.0,0.052631578947368474,0.2691907680537146,Promoted / uncertain,True,Transfermarkt,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,2026-06-21,Medium,True,39.5028,16.0938,17,0.385
Hull,5,2026-09-19,8.0,1.2,1.1461782,1.4370560000000001,-0.2908778000000001,12.2,3.8,12.2,3.8,12.2,3.8,1529.8566694979304,10.652842881692777,False,Premier League historical data,Premier League historical data,5,True,5,8,1.0,True,46,2026-05-02,False,False,none,5.0,8.0,,1.1461782,,1.4370560000000001,13.4,12.2,False,False,8.0,1.2,1.1461782,1.4370560000000001,-0.2908778000000001,12.2,3.8,12.2,3.8,12.2,3.8,none,95900000,3551852,27,20.0,0.0,0.0,Promoted / uncertain,True,Transfermarkt,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,2026-06-21,Medium,True,47.9743,12.4004,13,0.0757
Tottenham,271,2026-09-19,2.0,0.4,1.163948,1.8385044000000001,-0.6745564000000002,14.2,3.8,13.8,3.8,14.2,3.8,1445.5349728744366,-19.830374818808423,False,Premier League historical data,Premier League historical data,271,False,5,2,1.0,False,0,,False,False,none,2.0,2.0,1.163948,1.163948,1.8385044000000001,1.8385044000000001,14.2,14.2,False,False,2.0,0.4,1.163948,1.8385044000000001,-0.6745564000000002,14.2,3.8,13.8,3.8,14.2,3.8,none,700000000,23333333,30,6.0,0.736842105263158,0.7580903593798862,Strong,True,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,False,35.7973,17.7253,19,0.637
