team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Chelsea,63.729,4.877,0.201,0.583,0.734,0.007,63.64927619352022,74,3,2122,current_plus_elo_calibrated,1.8769999999999998,10.271
Man City,63.642,5.003,0.154,0.549,0.722,0.006,63.72727539211773,93,1,2122,current_plus_elo_calibrated,4.003,29.357999999999997
West Ham,61.683,6.115,0.128,0.454,0.619,0.017,61.841191681690404,56,7,2122,current_plus_elo_calibrated,0.8849999999999998,5.683
Tottenham,57.12,8.46,0.056,0.278,0.411,0.05,56.9154526262989,71,4,2122,current_plus_elo_calibrated,4.460000000000001,13.880000000000003
Arsenal,54.902,9.28,0.028,0.193,0.352,0.06,55.05105802047932,69,5,2122,current_plus_elo_calibrated,4.279999999999999,14.097999999999999
Everton,53.938,9.922,0.022,0.148,0.276,0.072,53.89616165551439,39,16,2122,current_plus_elo_calibrated,6.077999999999999,14.938000000000002
Crystal Palace,53.269,10.314,0.022,0.15,0.28,0.1,53.136878355647454,48,12,2122,current_plus_elo_calibrated,1.686,5.268999999999998
Leicester,53.456,10.326,0.025,0.141,0.258,0.08,53.63373313887732,52,8,2122,current_plus_elo_calibrated,2.3260000000000005,1.456000000000003
Leeds,53.329,10.399,0.013,0.146,0.266,0.08,53.301807064189084,38,17,2122,current_plus_elo_calibrated,6.601000000000001,15.329
Man United,53.37,10.401,0.022,0.147,0.241,0.083,53.448176598089674,58,6,2122,current_plus_elo_calibrated,4.401,4.630000000000003
Newcastle,52.39,11.055,0.015,0.107,0.204,0.107,52.46088699118064,49,11,2122,current_plus_elo_calibrated,0.054999999999999716,3.3900000000000006
Brighton,49.677,12.292,0.008,0.073,0.143,0.161,50.00498019284736,51,9,2122,current_plus_elo_calibrated,3.292,1.3230000000000004
Southampton,50.136,12.349,0.005,0.083,0.149,0.185,49.95084992722966,40,15,2122,current_plus_elo_calibrated,2.651,10.136000000000003
Watford,50.344,12.376,0.007,0.067,0.137,0.164,49.89308287581016,23,19,2122,current_plus_elo_calibrated,6.6240000000000006,27.344
Aston Villa,48.321,12.946,0.005,0.058,0.126,0.22,48.03428599722509,45,14,2122,current_plus_elo_calibrated,1.0540000000000003,3.320999999999998
Wolves,49.144,13.132,0.003,0.051,0.11,0.213,49.10885774032615,51,10,2122,current_plus_elo_calibrated,3.1319999999999997,1.8560000000000016
Burnley,48.147,13.283,0.007,0.051,0.105,0.23,48.23084523784351,35,18,2122,current_plus_elo_calibrated,4.7170000000000005,13.146999999999998
Brentford,42.708,15.882,0.0,0.022,0.04,0.464,42.80180735943029,46,13,2122,current_plus_elo_calibrated,2.8819999999999997,3.2920000000000016
Norwich,38.93,17.783,0.0,0.0,0.004,0.697,39.2310447762812,22,20,2122,current_plus_elo_calibrated,2.2169999999999987,16.93
Man City,87.392,1.54,0.57,0.995,1.0,0.0,87.43307579308748,89,1,2223,current_without_elo,0.54,1.608000000000004
Tottenham,85.474,1.828,0.369,0.995,1.0,0.0,85.55588456988335,60,8,2223,current_without_elo,6.172,25.474000000000004
Brighton,74.441,3.302,0.051,0.873,0.968,0.0,74.45626036822796,62,6,2223,current_without_elo,2.698,12.441000000000003
Liverpool,65.22,5.41,0.006,0.396,0.765,0.0,65.51339358836412,67,5,2223,current_without_elo,0.41000000000000014,1.7800000000000011
Chelsea,63.395,5.85,0.001,0.328,0.693,0.0,62.98089376837015,44,12,2223,current_without_elo,6.15,19.395000000000003
Crystal Palace,60.227,6.814,0.002,0.182,0.525,0.003,60.143059216439724,45,11,2223,current_without_elo,4.186,15.226999999999997
Leicester,57.788,7.786,0.001,0.111,0.364,0.003,58.05070522427559,34,18,2223,current_without_elo,10.214,23.787999999999997
Bournemouth,53.189,9.339,0.0,0.046,0.218,0.016,53.14929184317589,39,15,2223,current_without_elo,5.661,14.189
Arsenal,50.856,10.388,0.0,0.024,0.146,0.034,50.687235575169325,84,2,2223,current_without_elo,8.388,33.144
Brentford,50.378,10.676,0.0,0.025,0.123,0.035,50.25199516117573,59,9,2223,current_without_elo,1.6760000000000002,8.622
Everton,47.45,12.11,0.0,0.006,0.056,0.086,47.344811309129,36,17,2223,current_without_elo,4.890000000000001,11.450000000000003
Newcastle,45.918,12.938,0.0,0.005,0.025,0.107,46.2171371281147,71,4,2223,current_without_elo,8.938,25.082
Man United,45.145,13.242,0.0,0.004,0.031,0.142,45.35350842401385,75,3,2223,current_without_elo,10.242,29.854999999999997
Aston Villa,44.327,13.428,0.0,0.004,0.027,0.142,44.23565985262394,61,7,2223,current_without_elo,6.428000000000001,16.673000000000002
Fulham,41.764,14.669,0.0,0.003,0.016,0.268,41.99559988826513,52,10,2223,current_without_elo,4.6690000000000005,10.235999999999997
West Ham,41.55,14.928,0.0,0.001,0.016,0.288,41.35369363427162,40,14,2223,current_without_elo,0.9280000000000008,1.5499999999999972
Leeds,40.999,15.078,0.0,0.0,0.007,0.278,40.95968474820256,31,19,2223,current_without_elo,3.9220000000000006,9.999000000000002
Nott'm Forest,40.652,15.35,0.0,0.002,0.016,0.324,40.74700836092234,38,16,2223,current_without_elo,0.6500000000000004,2.652000000000001
Wolves,37.791,16.636,0.0,0.0,0.004,0.462,37.56205327808857,41,13,2223,current_without_elo,3.6359999999999992,3.209000000000003
Southampton,31.159,18.688,0.0,0.0,0.0,0.812,31.058312486857176,25,20,2223,current_without_elo,1.3120000000000012,6.158999999999999
Man City,85.061,1.786,0.5,0.977,0.998,0.0,84.98923167586327,89,1,2223,current_plus_elo,0.786,3.938999999999993
Tottenham,83.36,2.112,0.355,0.97,0.999,0.0,83.38442492857575,60,8,2223,current_plus_elo,5.888,23.36
Brighton,75.605,3.252,0.094,0.836,0.973,0.0,75.5532288774848,62,6,2223,current_plus_elo,2.748,13.605000000000004
Liverpool,71.736,4.136,0.035,0.623,0.941,0.0,72.186856508255,67,5,2223,current_plus_elo,0.8639999999999999,4.736000000000004
Chelsea,67.309,5.093,0.014,0.391,0.819,0.0,66.81977847963572,44,12,2223,current_plus_elo,6.907,23.308999999999997
Arsenal,58.724,7.315,0.0,0.089,0.442,0.003,58.65615666657686,84,2,2223,current_plus_elo,5.315,25.276000000000003
Leicester,57.157,7.993,0.001,0.061,0.327,0.003,57.46438588947058,34,18,2223,current_plus_elo,10.007,23.156999999999996
Crystal Palace,53.78,9.162,0.001,0.033,0.189,0.015,53.70171132683754,45,11,2223,current_plus_elo,1.8379999999999992,8.780000000000001
Brentford,49.111,11.079,0.0,0.006,0.095,0.047,48.77960483729839,59,9,2223,current_plus_elo,2.0790000000000006,9.889000000000003
Man United,48.335,11.503,0.0,0.003,0.064,0.061,48.47805429250002,75,3,2223,current_plus_elo,8.503,26.665
Aston Villa,45.362,12.639,0.0,0.002,0.029,0.092,45.276840724051,61,7,2223,current_plus_elo,5.638999999999999,15.637999999999998
Newcastle,45.945,12.654,0.0,0.002,0.027,0.098,46.266916297376156,71,4,2223,current_plus_elo,8.654,25.055
West Ham,45.228,13.063,0.0,0.0,0.032,0.14,45.099472396075726,40,14,2223,current_plus_elo,0.9369999999999994,5.2280000000000015
Everton,44.609,13.132,0.0,0.003,0.025,0.124,44.61713309586048,36,17,2223,current_plus_elo,3.8680000000000003,8.609000000000002
Nott'm Forest,43.735,13.744,0.0,0.002,0.019,0.163,43.8574742116034,38,16,2223,current_plus_elo,2.2560000000000002,5.734999999999999
Bournemouth,42.737,13.883,0.0,0.001,0.014,0.184,42.63814119249582,39,15,2223,current_plus_elo,1.1170000000000009,3.737000000000002
Leeds,37.563,16.29,0.0,0.0,0.003,0.43,37.56578358262777,31,19,2223,current_plus_elo,2.710000000000001,6.563000000000002
Fulham,37.245,16.362,0.0,0.001,0.004,0.446,37.341849848628044,52,10,2223,current_plus_elo,6.361999999999998,14.755000000000003
Wolves,36.859,16.759,0.0,0.0,0.0,0.484,36.657166946679354,41,13,2223,current_plus_elo,3.7590000000000003,4.140999999999998
