model_variant,team,seasons,mean_position_error,mean_points_error,mean_expected_position,mean_actual_position
current_without_elo,Everton,4,3.3810000000000002,7.722250000000001,11.119,14.5
current_without_elo,Crystal Palace,4,3.2279999999999998,9.69225,8.167,11.25
current_without_elo,West Ham,4,3.18825,7.615500000000001,12.84575,11.0
current_without_elo,Brighton,4,2.9115,8.7345,10.023,8.5
current_without_elo,Ipswich,1,2.8820000000000014,16.279000000000003,16.118,19.0
current_without_elo,Man City,4,2.8802499999999998,17.0135,3.75625,1.5
current_without_elo,Southampton,3,2.6950000000000007,13.845666666666666,15.638333333333334,18.333333333333332
current_without_elo,Nott'm Forest,3,2.4073333333333338,8.392333333333333,13.188,13.333333333333334
current_without_elo,Luton,1,1.565999999999999,13.590000000000003,16.434,18.0
current_without_elo,Liverpool,4,1.5125000000000002,7.300999999999998,3.5015,2.75
current_without_elo,Norwich,1,0.9660000000000011,6.457999999999998,19.034,20.0
