model,accuracy,log_loss,brier_score,calibration_score,ece
Model A: current production model,0.5142231947483589,0.9946180135531071,0.5945938287233458,0.049887093698387154,0.04988709369838715
Model B: market-only benchmark model,0.5733041575492341,0.9467119199653962,0.5603032588255482,0.04163135949081754,0.041631359490817546
Model C: current model + benchmark odds (research only),0.5098468271334792,1.1792537979726843,0.673774514345343,0.12327126023664603,0.12327126023664603
Model D: production + safe-prematch odds,,,,,
