experiment_id,model_version,features_added,train_period,test_period,accuracy,log_loss,Brier_score,calibration_score,expected_calibration_error,draw_log_loss,draw_recall,draw_calibration_error
model_a_current_production_20260604_214921,model_a_current_production,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|away_days_rest|home_matches_last_14_days|away_matches_last_14_days|home_had_midweek_match|away_had_midweek_match|home_days_since_last_match|away_days_since_last_match|home_attacking_pressure_score_last5|home_attacking_pressure_score_last10|home_attacking_pressure_score_season|away_attacking_pressure_score_last5|away_attacking_pressure_score_last10|away_attacking_pressure_score_season,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.5142231947483589,0.9946180094695946,0.5945938280579399,0.04988709443203295,0.049887094432032944,1.518526315689087,0.037383177570093455,0.01906261832761033
model_b_core_h2h_20260604_214921,model_b_core_h2h,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|away_days_rest|home_matches_last_14_days|away_matches_last_14_days|home_had_midweek_match|away_had_midweek_match|home_days_since_last_match|away_days_since_last_match|home_attacking_pressure_score_last5|home_attacking_pressure_score_last10|home_attacking_pressure_score_season|away_attacking_pressure_score_last5|away_attacking_pressure_score_last10|away_attacking_pressure_score_season|h2h_matches_count|h2h_home_wins|h2h_draws|h2h_away_wins|h2h_points_home_team|h2h_points_away_team|h2h_data_strength_score,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.49671772428884026,1.0006572534928584,0.5987276959988032,0.05193930866507871,0.051939308665078725,1.4673787355422974,0.037383177570093455,0.0048642853026316935
model_c_recent_h2h_20260604_214921,model_c_recent_h2h,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|away_days_rest|home_matches_last_14_days|away_matches_last_14_days|home_had_midweek_match|away_had_midweek_match|home_days_since_last_match|away_days_since_last_match|home_attacking_pressure_score_last5|home_attacking_pressure_score_last10|home_attacking_pressure_score_season|away_attacking_pressure_score_last5|away_attacking_pressure_score_last10|away_attacking_pressure_score_season|h2h_matches_count|h2h_home_wins|h2h_draws|h2h_away_wins|h2h_points_home_team|h2h_points_away_team|h2h_data_strength_score|h2h_last_3_points_home|h2h_last_5_points_home_team|h2h_last_3_goal_diff|h2h_last_5_goal_diff|h2h_last_3_xg_diff|h2h_last_5_xg_diff,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.4923413566739606,0.9987368464437221,0.5972035537015107,0.057757308906355886,0.057757308906355886,1.474676489830017,0.018691588785046728,0.007944102001659709
model_d_venue_h2h_20260604_214921,model_d_venue_h2h,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|away_days_rest|home_matches_last_14_days|away_matches_last_14_days|home_had_midweek_match|away_had_midweek_match|home_days_since_last_match|away_days_since_last_match|home_attacking_pressure_score_last5|home_attacking_pressure_score_last10|home_attacking_pressure_score_season|away_attacking_pressure_score_last5|away_attacking_pressure_score_last10|away_attacking_pressure_score_season|h2h_matches_count|h2h_home_wins|h2h_draws|h2h_away_wins|h2h_points_home_team|h2h_points_away_team|h2h_data_strength_score|h2h_home_venue_points|h2h_home_venue_goal_diff|h2h_home_venue_xg_diff,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.5164113785557987,1.0043376655205236,0.6012404296689814,0.058853123448435886,0.058853123448435886,1.4653029441833496,0.037383177570093455,0.0023415038113520914
model_e_all_h2h_20260604_214921,model_e_all_h2h,home_team_points_last_5|away_team_points_last_5|home_goals_scored_avg|away_goals_scored_avg|home_advantage|home_xg_avg|away_xg_avg|home_xga_avg|away_xga_avg|home_xg_diff|away_xg_diff|home_days_rest|away_days_rest|home_matches_last_14_days|away_matches_last_14_days|home_had_midweek_match|away_had_midweek_match|home_days_since_last_match|away_days_since_last_match|home_attacking_pressure_score_last5|home_attacking_pressure_score_last10|home_attacking_pressure_score_season|away_attacking_pressure_score_last5|away_attacking_pressure_score_last10|away_attacking_pressure_score_season|h2h_matches_count|h2h_home_wins|h2h_draws|h2h_away_wins|h2h_points_home_team|h2h_points_away_team|h2h_data_strength_score|h2h_last_3_points_home|h2h_last_5_points_home_team|h2h_last_3_goal_diff|h2h_last_5_goal_diff|h2h_last_3_xg_diff|h2h_last_5_xg_diff|h2h_home_venue_points|h2h_home_venue_goal_diff|h2h_home_venue_xg_diff,2019-08-09 to 2024-04-04,2024-04-06 to 2025-05-25,0.49671772428884026,0.9996182180388474,0.5982905812981533,0.05410840701417798,0.054108407014177975,1.4663243293762207,0.056074766355140186,0.004090825629703837
