model_version,train_period,test_period,accuracy,log_loss,Brier_score,expected_calibration_error,draw_recall,draw_top2_rate,actual_draw_rate,predicted_draw_top1_rate,mean_draw_probability,draw_probability_gap,draw_log_loss,double_chance_hit_rate
model_a_current_production_sigmoid,2019-08-09 to 2025-02-21,2025-02-22 to 2026-09-06,0.4739776951672863,1.055560844566755,0.6349187170605677,0.0447036552858672,0.02097902097902098,0.6078066914498141,0.26579925650557623,0.03717472118959108,0.2630684524510611,-0.0027308040545151457,0.5939942833795872,0.7156133828996283
model_b_draw_primary_sigmoid,2019-08-09 to 2025-02-21,2025-02-22 to 2026-09-06,0.4591078066914498,1.0567811243832244,0.6352317978876257,0.0507849417401656,0.03496503496503497,0.6654275092936803,0.26579925650557623,0.06133828996282528,0.26582058244003987,2.1325934463634066e-05,0.5967020724489599,0.7342007434944238
model_c_draw_full_sigmoid,2019-08-09 to 2025-02-21,2025-02-22 to 2026-09-06,0.45353159851301117,1.059370012110431,0.638298854230254,0.049420674064400275,0.02097902097902098,0.637546468401487,0.26579925650557623,0.04275092936802974,0.263068925482259,-0.0027303310233172118,0.5944535528763224,0.7267657992565055
model_a_current_production_raw,2019-08-09 to 2025-02-21,2025-02-22 to 2026-09-06,0.4739776951672863,1.0594956874847412,0.6337514563498353,0.050892597228251714,0.02097902097902098,0.41263940520446096,0.26579925650557623,0.022304832713754646,0.22621209919452667,-0.03958715731104956,0.6055390059352475,0.7397769516728625
model_b_draw_primary_raw,2019-08-09 to 2025-02-21,2025-02-22 to 2026-09-06,0.4684014869888476,1.061281681060791,0.6360016952583459,0.058081005991908546,0.006993006993006993,0.4033457249070632,0.26579925650557623,0.016728624535315983,0.2239469438791275,-0.04185231262644873,0.6052559575405263,0.7472118959107806
model_c_draw_full_raw,2019-08-09 to 2025-02-21,2025-02-22 to 2026-09-06,0.4721189591078067,1.062609314918518,0.636982523007912,0.060389731739459586,0.013986013986013986,0.38847583643122674,0.26579925650557623,0.016728624535315983,0.22243720293045044,-0.04336205357512579,0.6073546826590172,0.7472118959107806
