model_version,strategy,threshold,spread_threshold,boost,calibration_matches_adjusted,test_matches_adjusted,calibration_accuracy,calibration_log_loss,calibration_Brier_score,calibration_expected_calibration_error,calibration_calibration_score,calibration_draw_recall,calibration_draw_top2_rate,calibration_actual_draw_rate,calibration_predicted_draw_top1_rate,calibration_mean_draw_probability,calibration_draw_probability_gap,calibration_draw_log_loss,calibration_double_chance_hit_rate,test_accuracy,test_log_loss,test_Brier_score,test_expected_calibration_error,test_calibration_score,test_draw_recall,test_draw_top2_rate,test_actual_draw_rate,test_predicted_draw_top1_rate,test_mean_draw_probability,test_draw_probability_gap,test_draw_log_loss,test_double_chance_hit_rate,selected_on_calibration
production_sigmoid_no_overlay,none,,,0.0,0,0,0.5336426914153132,0.9916330008531327,0.5913508452594606,0.033003625569234536,0.03300362556923454,0.046296296296296294,0.6357308584686775,0.2505800464037123,0.025522041763341066,0.25223590598731427,0.0016558595836019818,0.556423512616224,0.7888631090487239,0.4739776951672863,1.055560844566755,0.6349187170605677,0.0447036552858672,0.04470365528586721,0.02097902097902098,0.6078066914498141,0.26579925650557623,0.03717472118959108,0.2630684524510611,-0.0027308040545151457,0.5939942833795872,0.7156133828996283,False
draw_overlay_draw_score,draw_score,0.3809154171711099,0.08,0.01,216,349,0.5359628770301624,0.9920337847706888,0.5915973990447031,0.031124263279798066,0.03112426327979807,0.05555555555555555,0.6496519721577726,0.2505800464037123,0.027842227378190254,0.2559897781731926,0.005409731769480286,0.5568242965337803,0.7819025522041764,0.4721189591078067,1.0551726573577107,0.6348705691463483,0.04227106548587172,0.04227106548587172,0.02097902097902098,0.6394052044609665,0.26579925650557623,0.04275092936802974,0.2678564441699031,0.002057187664326887,0.5936060961705429,0.7267657992565055,False
draw_overlay_draw_score,draw_score,0.3809154171711099,0.08,0.02,216,349,0.5336426914153132,0.99257601983617,0.5919335295693603,0.029934981638574817,0.02993498163857482,0.05555555555555555,0.6937354988399071,0.2505800464037123,0.03248259860788863,0.2597436503590708,0.009163603955358535,0.5573665315992615,0.7819025522041764,0.47026022304832715,1.0549938936378132,0.634934126069482,0.04024843081382019,0.04024843081382018,0.02097902097902098,0.6784386617100372,0.26579925650557623,0.048327137546468404,0.27264443588874515,0.00684517938316892,0.5934273324506454,0.7323420074349443,False
draw_overlay_draw_score,draw_score,0.3809154171711099,0.08,0.03,216,349,0.531322505800464,0.9932543462425052,0.592359236833432,0.027450862081459956,0.027450862081459953,0.05555555555555555,0.7122969837587007,0.2505800464037123,0.03480278422273782,0.26349752254494907,0.012917476141236783,0.5580448580055969,0.7795823665893271,0.4646840148698885,1.05501523985523,0.635109387829968,0.03876898441685661,0.03876898441685661,0.02097902097902098,0.7137546468401487,0.26579925650557623,0.05762081784386617,0.27743242760758713,0.011633171102010897,0.5934486786680623,0.7323420074349443,False
draw_overlay_draw_score,draw_score,0.3809154171711099,0.08,0.04,216,349,0.5290023201856149,0.9940639884850794,0.5928745208369179,0.025408610232022164,0.025408610232022167,0.05555555555555555,0.7447795823665894,0.2505800464037123,0.03944315545243619,0.2672513947308273,0.016671348327115032,0.5588545002481708,0.777262180974478,0.4628252788104089,1.0552284265432241,0.635396354427807,0.039525857810904515,0.039525857810904515,0.027972027972027972,0.7434944237918215,0.26579925650557623,0.06691449814126393,0.2822204193264292,0.016421162820852986,0.5936618653560566,0.741635687732342,False
draw_overlay_draw_score,draw_score,0.3809154171711099,0.08,0.05,216,349,0.5266821345707656,0.9950006887114735,0.5934793815798186,0.026506263980657203,0.026506263980657207,0.05555555555555555,0.7517401392111369,0.2505800464037123,0.04176334106728538,0.2710052669167056,0.020425220512993336,0.559791200474565,0.7749419953596288,0.4591078066914498,1.055626094813176,0.6357950258629986,0.04175595870157023,0.04175595870157023,0.027972027972027972,0.7620817843866171,0.26579925650557623,0.07063197026022305,0.28700841104527125,0.02120915453969502,0.594059533626008,0.7509293680297398,False
draw_overlay_draw_score,draw_score,0.3809154171711099,0.08,0.06,216,349,0.5266821345707656,0.9960606503079698,0.5941738190621335,0.02553361754816403,0.025533617548164037,0.05555555555555555,0.7679814385150812,0.2505800464037123,0.04176334106728538,0.27475913910258387,0.024179092698871585,0.5608511620710613,0.777262180974478,0.4628252788104089,1.0562016855372263,0.6363054021355429,0.04555509201798678,0.04555509201798677,0.055944055944055944,0.7788104089219331,0.26579925650557623,0.08178438661710037,0.2917964027641132,0.025997146258536996,0.5946351243500584,0.7472118959107806,False
draw_overlay_draw_score,draw_score,0.3948334854537697,0.08,0.01,173,312,0.5359628770301624,0.9919431359745305,0.5915219262782553,0.029668556134460324,0.02966855613446033,0.05555555555555555,0.6473317865429234,0.2505800464037123,0.027842227378190254,0.25524501434950403,0.0046649679457917426,0.556733647737622,0.7842227378190255,0.4721189591078067,1.0556966965601147,0.6351661865830166,0.0423439014679427,0.0423439014679427,0.02097902097902098,0.6338289962825279,0.26579925650557623,0.04275092936802974,0.2673489918871494,0.0015497353815731585,0.594130135372947,0.724907063197026,False
draw_overlay_draw_score,draw_score,0.3948334854537697,0.08,0.02,173,312,0.5359628770301624,0.992366788067375,0.5917646262445474,0.02845877594792225,0.028458775947922246,0.05555555555555555,0.6821345707656613,0.2505800464037123,0.030162412993039442,0.2582541227116938,0.007674076307981503,0.5571572998304665,0.7842227378190255,0.47026022304832715,1.0560119576921796,0.6355133439967966,0.040102483285516924,0.04010248328551692,0.02097902097902098,0.671003717472119,0.26579925650557623,0.048327137546468404,0.27162953132323775,0.005830274817661518,0.5944453965050117,0.7304832713754646,False
draw_overlay_draw_score,draw_score,0.3948334854537697,0.08,0.03,173,312,0.5336426914153132,0.9928996420628085,0.5920789451583371,0.028463556746125503,0.028463556746125506,0.05555555555555555,0.7006960556844548,0.2505800464037123,0.03248259860788863,0.26126323107388355,0.010683184670171264,0.5576901538259,0.7819025522041764,0.46654275092936803,1.0564987948431834,0.6359601893019075,0.037718811176961256,0.03771881117696126,0.02097902097902098,0.7044609665427509,0.26579925650557623,0.055762081784386616,0.27591007075932605,0.010110814253749822,0.5949322336560157,0.7304832713754646,False
draw_overlay_draw_score,draw_score,0.3948334854537697,0.08,0.04,173,312,0.531322505800464,0.9935378533524128,0.5924648830196243,0.027190451792947178,0.027190451792947174,0.05555555555555555,0.728538283062645,0.2505800464037123,0.037122969837587005,0.26427233943607326,0.01369229303236097,0.5583283651155043,0.777262180974478,0.4646840148698885,1.0571502764399754,0.6365067224983493,0.03867322584946712,0.03867322584946711,0.027972027972027972,0.7323420074349443,0.26579925650557623,0.06319702602230483,0.28019061019541436,0.014391353689838127,0.5955837152528077,0.7379182156133829,False
draw_overlay_draw_score,draw_score,0.3948334854537697,0.08,0.05,173,312,0.5290023201856149,0.9942779940467212,0.5929224398284091,0.028815898628076684,0.02881589862807668,0.05555555555555555,0.7331786542923434,0.2505800464037123,0.03944315545243619,0.267281447798263,0.01670140139455073,0.5590685058098127,0.7749419953596288,0.4628252788104089,1.0579602556926024,0.6371529435861222,0.04044459698270002,0.040444596982700025,0.027972027972027972,0.7509293680297398,0.26579925650557623,0.06505576208178439,0.2844711496315027,0.018671893125926486,0.5963936945054346,0.7472118959107806,False
draw_overlay_draw_score,draw_score,0.3948334854537697,0.08,0.06,173,312,0.5290023201856149,0.9951170074933897,0.5934516155846913,0.027553555840168328,0.027553555840168328,0.05555555555555555,0.7470997679814385,0.2505800464037123,0.03944315545243619,0.2702905561604528,0.01971050975674049,0.5599075192564813,0.7795823665893271,0.4646840148698885,1.0589232739881433,0.6378988525652258,0.04420521740497502,0.04420521740497502,0.04895104895104895,0.7639405204460966,0.26579925650557623,0.07434944237918216,0.28875168906759097,0.022952432562014735,0.5973567128009756,0.7453531598513011,False
draw_overlay_draw_score,draw_score,0.41771700429589087,0.08,0.01,130,228,0.5359628770301624,0.9915611185487786,0.5912907494060267,0.030427193473427053,0.030427193473427053,0.05555555555555555,0.6403712296983759,0.2505800464037123,0.027842227378190254,0.25449140056393116,0.003911354160218872,0.55635163031187,0.7888631090487239,0.4739776951672863,1.0551286621849734,0.6348262089331442,0.04486480435184545,0.04486480435184546,0.02097902097902098,0.6301115241635687,0.26579925650557623,0.03903345724907063,0.2661945390319219,0.00039528252634568606,0.5935621009978056,0.7230483271375465,False
draw_overlay_draw_score,draw_score,0.41771700429589087,0.08,0.02,130,228,0.5359628770301624,0.9915812520292087,0.591284204450128,0.028917389640542912,0.028917389640542912,0.05555555555555555,0.6589327146171694,0.2505800464037123,0.030162412993039442,0.256746895140548,0.006166848736835706,0.5563717637923002,0.7865429234338747,0.4721189591078067,1.0548437001540576,0.6348062990802769,0.04277143620301261,0.0427714362030126,0.02097902097902098,0.6561338289962825,0.26579925650557623,0.040892193308550186,0.2693206256127829,0.0035213691072066844,0.5932771389668898,0.7267657992565055,False
draw_overlay_draw_score,draw_score,0.41771700429589087,0.08,0.03,130,228,0.5336426914153132,0.9916896532917873,0.5913312103917647,0.029423654408551703,0.0294236544085517,0.05555555555555555,0.6774941995359629,0.2505800464037123,0.03248259860788863,0.2590023897171649,0.008422343313452596,0.5564801650548789,0.7842227378190255,0.4684014869888476,1.054698882110083,0.6348589875019655,0.03912585284416966,0.03912585284416966,0.02097902097902098,0.6765799256505576,0.26579925650557623,0.048327137546468404,0.27244671219364375,0.006647455688067516,0.5931323209229152,0.7267657992565055,False
draw_overlay_draw_score,draw_score,0.41771700429589087,0.08,0.04,130,228,0.531322505800464,0.9918829753647952,0.5914317672309368,0.027996781883498544,0.02799678188349855,0.05555555555555555,0.703016241299304,0.2505800464037123,0.03480278422273782,0.2612578842937817,0.01067783789006943,0.5566734871278867,0.7795823665893271,0.46654275092936803,1.0546879418974389,0.6349842741982101,0.040612517256332324,0.04061251725633233,0.027972027972027972,0.6951672862453532,0.26579925650557623,0.05390334572490706,0.2755727987745047,0.009773542268928459,0.593121380710271,0.7323420074349443,False
